#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03445273,0.17,110.85302,100000.00000
0.250,0.03445273,0.35,9.32824,100000.00000
0.250,0.03445273,0.39,170.51100,100000.00000
0.250,0.03445273,0.53,42.97989,100000.00000
0.250,0.03445273,0.55,179.08341,100000.00000
0.250,0.03445273,0.08,33.57333,100000.00000
0.250,0.03445273,0.38,56.10997,100000.00000
0.250,0.03445273,0.51,85.35856,100000.00000
0.250,0.03445273,0.56,39.63298,100000.00000
0.250,0.03445273,0.60,136.48737,23534.62064
0.250,0.03445273,0.34,138.50873,100000.00000
0.250,0.03445273,0.26,170.05783,100000.00000
0.250,0.03445273,0.45,104.94748,100000.00000
0.250,0.03445273,0.45,53.00384,100000.00000
0.250,0.03445273,0.20,59.15962,100000.00000
0.250,0.03445273,0.55,23.31269,100000.00000
0.250,0.03445273,0.15,48.74981,100000.00000
0.250,0.03445273,0.50,169.93068,100000.00000
0.250,0.03445273,0.21,14.64278,100000.00000
0.250,0.03445273,0.26,99.97771,100000.00000
0.250,0.03445273,0.59,23.41552,100000.00000
0.250,0.03445273,0.00,28.07901,100000.00000
0.250,0.03445273,0.51,41.40159,100000.00000
0.250,0.03445273,0.41,96.73121,100000.00000
0.250,0.03445273,0.06,57.24063,100000.00000
0.250,0.03445273,0.16,128.62727,100000.00000
0.250,0.03445273,0.10,18.26488,100000.00000
0.250,0.03445273,0.24,82.01822,100000.00000
0.250,0.03445273,0.26,23.24870,100000.00000
0.250,0.03445273,0.60,49.18671,27942.45411
0.250,0.03445273,0.36,11.96933,100000.00000
0.250,0.03445273,0.37,69.10042,100000.00000
0.250,0.03445273,0.41,31.74966,100000.00000
0.250,0.03445273,0.04,101.02990,100000.00000
0.250,0.03445273,0.26,150.89917,100000.00000
0.250,0.03445273,0.43,139.59497,100000.00000
0.250,0.03445273,0.12,153.54170,100000.00000
0.250,0.03445273,0.32,96.67918,100000.00000
0.250,0.03445273,0.56,89.25763,17076.34389
0.250,0.03445273,0.52,57.37545,100000.00000
0.250,0.03445273,0.02,21.96688,100000.00000
0.250,0.03445273,0.17,4.77204,100000.00000
0.250,0.03445273,0.50,152.85522,100000.00000
0.250,0.03445273,0.03,48.84283,100000.00000
0.250,0.03445273,0.00,32.72849,100000.00000
0.250,0.03445273,0.25,148.05670,100000.00000
0.250,0.03445273,0.06,147.24266,100000.00000
0.250,0.03445273,0.01,79.22745,100000.00000
0.250,0.03445273,0.07,45.32081,100000.00000
0.250,0.03445273,0.53,19.88534,100000.00000
0.250,0.03445273,0.47,29.93101,100000.00000
0.250,0.03445273,0.35,45.83532,100000.00000
0.250,0.03445273,0.35,145.77740,100000.00000
0.250,0.03445273,0.45,37.41953,100000.00000
0.250,0.03445273,0.31,111.28586,100000.00000
0.250,0.03445273,0.31,134.54477,100000.00000
0.250,0.03445273,0.49,138.76420,100000.00000
0.250,0.03445273,0.52,159.47600,100000.00000
0.250,0.03445273,0.41,104.50590,100000.00000
0.250,0.03445273,0.33,27.51465,100000.00000
0.250,0.03445273,0.52,110.85537,100000.00000
