#N,e_p,a_res,k_left,k_right,e_int,a_int
3,0.00,6.93361e-01,6.97007e-01,6.89715e-01,3.94032e-01,6.29346e-01
3,0.01,6.93361e-01,7.04890e-01,6.81833e-01,3.94032e-01,6.29346e-01
3,0.02,6.93361e-01,7.09661e-01,6.77061e-01,3.94032e-01,6.29346e-01
3,0.03,6.93361e-01,7.13317e-01,6.73405e-01,3.94032e-01,6.29346e-01
3,0.04,6.93361e-01,7.16392e-01,6.70330e-01,3.94032e-01,6.29346e-01
3,0.05,6.93361e-01,7.19093e-01,6.67629e-01,3.94032e-01,6.29346e-01
3,0.06,6.93361e-01,7.21526e-01,6.65197e-01,3.94032e-01,6.29346e-01
3,0.07,6.93361e-01,7.23753e-01,6.62970e-01,3.94032e-01,6.29346e-01
3,0.08,6.93361e-01,7.25815e-01,6.60908e-01,3.94032e-01,6.29346e-01
3,0.09,6.93361e-01,7.27739e-01,6.58983e-01,3.94032e-01,6.29346e-01
3,0.10,6.93361e-01,7.29547e-01,6.57176e-01,3.94032e-01,6.29346e-01
3,0.11,6.93361e-01,7.31253e-01,6.55470e-01,3.94032e-01,6.29346e-01
3,0.12,6.93361e-01,7.32869e-01,6.53854e-01,3.94032e-01,6.29346e-01
3,0.13,6.93361e-01,7.34404e-01,6.52318e-01,3.94032e-01,6.29346e-01
3,0.14,6.93361e-01,7.35867e-01,6.50856e-01,3.94032e-01,6.29346e-01
3,0.15,6.93361e-01,7.37262e-01,6.49461e-01,3.94032e-01,6.29346e-01
3,0.16,6.93361e-01,7.38594e-01,6.48128e-01,3.94032e-01,6.29346e-01
3,0.17,6.93361e-01,7.39869e-01,6.46853e-01,3.94032e-01,6.29346e-01
3,0.18,6.93361e-01,7.41090e-01,6.45633e-01,3.94032e-01,6.29346e-01
3,0.19,6.93361e-01,7.42259e-01,6.44464e-01,3.94032e-01,6.29346e-01
3,0.20,6.93361e-01,7.43379e-01,6.43344e-01,3.94032e-01,6.29346e-01
3,0.21,6.93361e-01,7.44452e-01,6.42270e-01,3.94032e-01,6.29346e-01
3,0.22,6.93361e-01,7.45481e-01,6.41241e-01,3.94032e-01,6.29346e-01
3,0.23,6.93361e-01,7.46467e-01,6.40256e-01,3.94032e-01,6.29346e-01
3,0.24,6.93361e-01,7.47411e-01,6.39311e-01,3.94032e-01,6.29346e-01
3,0.25,6.93361e-01,7.48316e-01,6.38407e-01,3.94032e-01,6.29346e-01
3,0.26,6.93361e-01,7.49181e-01,6.37542e-01,3.94032e-01,6.29346e-01
3,0.27,6.93361e-01,7.50008e-01,6.36715e-01,3.94032e-01,6.29346e-01
3,0.28,6.93361e-01,7.50798e-01,6.35925e-01,3.94032e-01,6.29346e-01
3,0.29,6.93361e-01,7.51551e-01,6.35171e-01,3.94032e-01,6.29346e-01
3,0.30,6.93361e-01,7.52270e-01,6.34453e-01,3.94032e-01,6.29346e-01
3,0.31,6.93361e-01,7.52953e-01,6.33770e-01,3.94032e-01,6.29346e-01
3,0.32,6.93361e-01,7.53601e-01,6.33121e-01,3.94032e-01,6.29346e-01
3,0.33,6.93361e-01,7.54216e-01,6.32506e-01,3.94032e-01,6.29346e-01
3,0.34,6.93361e-01,7.54798e-01,6.31925e-01,3.94032e-01,6.29346e-01
3,0.35,6.93361e-01,7.55346e-01,6.31377e-01,3.94032e-01,6.29346e-01
3,0.36,6.93361e-01,7.55862e-01,6.30861e-01,3.94032e-01,6.29346e-01
3,0.37,6.93361e-01,7.56345e-01,6.30377e-01,3.94032e-01,6.29346e-01
3,0.38,6.93361e-01,7.56797e-01,6.29926e-01,3.94032e-01,6.29346e-01
3,0.39,6.93361e-01,7.57216e-01,6.29506e-01,3.94032e-01,6.29346e-01
3,0.40,6.93361e-01,7.57605e-01,6.29118e-01,3.94032e-01,6.29346e-01
3,0.41,6.93361e-01,7.57961e-01,6.28761e-01,3.94032e-01,6.29346e-01
3,0.42,6.93361e-01,7.58287e-01,6.28435e-01,3.94032e-01,6.29346e-01
3,0.43,6.93361e-01,7.58582e-01,6.28141e-01,3.94032e-01,6.29346e-01
3,0.44,6.93361e-01,7.58846e-01,6.27877e-01,3.94032e-01,6.29346e-01
3,0.45,6.93361e-01,7.59079e-01,6.27644e-01,3.94032e-01,6.29346e-01
3,0.46,6.93361e-01,7.59281e-01,6.27441e-01,3.94032e-01,6.29346e-01
3,0.47,6.93361e-01,7.59453e-01,6.27269e-01,3.94032e-01,6.29346e-01
3,0.48,6.93361e-01,7.59594e-01,6.27128e-01,3.94032e-01,6.29346e-01
3,0.49,6.93361e-01,7.59705e-01,6.27017e-01,3.94032e-01,6.29346e-01
3,0.50,6.93361e-01,7.59786e-01,6.26937e-01,3.94032e-01,6.29346e-01
3,0.51,6.93361e-01,7.59836e-01,6.26887e-01,3.94032e-01,6.29346e-01
3,0.52,6.93361e-01,7.59855e-01,6.26868e-01,3.94032e-01,6.29346e-01
3,0.53,6.93361e-01,7.59844e-01,6.26879e-01,3.94032e-01,6.29346e-01
3,0.54,6.93361e-01,7.59802e-01,6.26920e-01,3.94032e-01,6.29346e-01
3,0.55,6.93361e-01,7.59730e-01,6.26992e-01,3.94032e-01,6.29346e-01
3,0.56,6.93361e-01,7.59627e-01,6.27095e-01,3.94032e-01,6.29346e-01
3,0.57,6.93361e-01,7.59494e-01,6.27229e-01,3.94032e-01,6.29346e-01
3,0.58,6.93361e-01,7.59329e-01,6.27393e-01,3.94032e-01,6.29346e-01
3,0.59,6.93361e-01,7.59134e-01,6.27589e-01,3.94032e-01,6.29346e-01
3,0.60,6.93361e-01,7.58907e-01,6.27816e-01,3.94032e-01,6.29346e-01
4,0.00,5.72357e-01,5.72524e-01,5.72190e-01,2.94732e-01,5.26890e-01
4,0.01,5.72357e-01,5.74025e-01,5.70689e-01,2.94732e-01,5.26890e-01
4,0.02,5.72357e-01,5.75692e-01,5.69023e-01,2.94732e-01,5.26890e-01
4,0.03,5.72357e-01,5.77357e-01,5.67358e-01,2.94732e-01,5.26890e-01
4,0.04,5.72357e-01,5.79019e-01,5.65695e-01,2.94732e-01,5.26890e-01
4,0.05,5.72357e-01,5.80678e-01,5.64036e-01,2.94732e-01,5.26890e-01
4,0.06,5.72357e-01,5.82332e-01,5.62382e-01,2.94732e-01,5.26890e-01
