#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01706406,0.24,177.51793,100000.00000
0.250,0.01706406,0.23,94.15761,100000.00000
0.250,0.01706406,0.35,122.67049,100000.00000
0.250,0.01706406,0.42,172.99266,100000.00000
0.250,0.01706406,0.39,3.25983,100000.00000
0.250,0.01706406,0.32,15.64565,100000.00000
0.250,0.01706406,0.12,69.31759,100000.00000
0.250,0.01706406,0.51,57.43809,100000.00000
0.250,0.01706406,0.43,32.74706,100000.00000
0.250,0.01706406,0.22,2.04366,100000.00000
0.250,0.01706406,0.47,107.53436,100000.00000
0.250,0.01706406,0.23,116.85785,100000.00000
0.250,0.01706406,0.06,39.97941,100000.00000
0.250,0.01706406,0.21,13.09734,100000.00000
0.250,0.01706406,0.54,84.13227,100000.00000
0.250,0.01706406,0.45,104.94748,100000.00000
0.250,0.01706406,0.49,24.62735,100000.00000
0.250,0.01706406,0.11,35.14374,100000.00000
0.250,0.01706406,0.09,20.42523,100000.00000
0.250,0.01706406,0.31,87.21414,100000.00000
0.250,0.01706406,0.10,116.93392,100000.00000
0.250,0.01706406,0.47,31.56683,100000.00000
0.250,0.01706406,0.47,8.45387,100000.00000
0.250,0.01706406,0.47,132.84605,100000.00000
0.250,0.01706406,0.29,82.64444,100000.00000
0.250,0.01706406,0.54,109.39262,100000.00000
0.250,0.01706406,0.01,30.69434,100000.00000
0.250,0.01706406,0.50,88.09649,100000.00000
0.250,0.01706406,0.03,139.00406,100000.00000
0.250,0.01706406,0.39,170.51100,100000.00000
0.250,0.01706406,0.37,111.61310,100000.00000
0.250,0.01706406,0.44,3.54790,100000.00000
0.250,0.01706406,0.38,22.94796,100000.00000
0.250,0.01706406,0.32,65.35481,100000.00000
0.250,0.01706406,0.40,177.27142,100000.00000
0.250,0.01706406,0.52,72.34756,100000.00000
0.250,0.01706406,0.42,12.07377,100000.00000
0.250,0.01706406,0.07,90.48222,100000.00000
0.250,0.01706406,0.43,115.91992,100000.00000
0.250,0.01706406,0.22,177.48019,100000.00000
0.250,0.01706406,0.47,49.32994,100000.00000
0.250,0.01706406,0.44,130.00805,100000.00000
0.250,0.01706406,0.45,61.52712,100000.00000
0.250,0.01706406,0.04,59.56164,100000.00000
0.250,0.01706406,0.13,157.92715,100000.00000
0.250,0.01706406,0.30,30.40831,100000.00000
0.250,0.01706406,0.50,145.18101,100000.00000
0.250,0.01706406,0.37,21.04165,100000.00000
0.250,0.01706406,0.20,1.95078,100000.00000
0.250,0.01706406,0.10,109.15723,100000.00000
0.250,0.01706406,0.31,48.46378,100000.00000
0.250,0.01706406,0.34,109.91161,100000.00000
0.250,0.01706406,0.49,147.43842,100000.00000
0.250,0.01706406,0.01,109.35807,100000.00000
0.250,0.01706406,0.03,149.17275,100000.00000
0.250,0.01706406,0.05,29.01983,100000.00000
0.250,0.01706406,0.44,120.25532,100000.00000
0.250,0.01706406,0.54,16.09398,100000.00000
0.250,0.01706406,0.09,95.33710,100000.00000
0.250,0.01706406,0.14,67.60493,100000.00000
0.250,0.01706406,0.08,7.33953,100000.00000
0.250,0.01706406,0.28,88.58093,100000.00000
0.250,0.01706406,0.18,35.24240,100000.00000
0.250,0.01706406,0.39,110.06176,100000.00000
0.250,0.01706406,0.02,165.93736,100000.00000
0.250,0.01706406,0.09,166.44485,100000.00000
0.250,0.01706406,0.51,125.33198,100000.00000
0.250,0.01706406,0.52,157.44630,100000.00000
0.250,0.01706406,0.16,17.61015,100000.00000
0.250,0.01706406,0.21,111.27925,100000.00000
0.250,0.01706406,0.08,40.76924,100000.00000
0.250,0.01706406,0.52,169.03219,100000.00000
0.250,0.01706406,0.19,31.93912,100000.00000
0.250,0.01706406,0.18,3.27993,100000.00000
0.250,0.01706406,0.18,152.07756,100000.00000
0.250,0.01706406,0.32,105.63140,100000.00000
0.250,0.01706406,0.48,14.90376,100000.00000
0.250,0.01706406,0.37,142.92453,100000.00000
0.250,0.01706406,0.17,4.77204,100000.00000
0.250,0.01706406,0.21,18.20208,100000.00000
0.250,0.01706406,0.06,93.38231,100000.00000
0.250,0.01706406,0.26,10.14759,100000.00000
0.250,0.01706406,0.16,171.87575,100000.00000
0.250,0.01706406,0.09,61.39194,100000.00000
0.250,0.01706406,0.52,142.33017,100000.00000
0.250,0.01706406,0.46,164.57378,100000.00000
0.250,0.01706406,0.00,94.45616,100000.00000
0.250,0.01706406,0.26,49.21327,100000.00000
0.250,0.01706406,0.19,167.53632,100000.00000
0.250,0.01706406,0.46,87.73762,100000.00000
0.250,0.01706406,0.00,28.07901,100000.00000
0.250,0.01706406,0.42,74.63234,100000.00000
0.250,0.01706406,0.12,17.49177,100000.00000
0.250,0.01706406,0.41,113.80757,100000.00000
0.250,0.01706406,0.37,83.28236,100000.00000
0.250,0.01706406,0.01,170.79940,100000.00000
0.250,0.01706406,0.00,107.75853,100000.00000
0.250,0.01706406,0.22,139.88645,100000.00000
0.250,0.01706406,0.04,101.02990,100000.00000
0.250,0.01706406,0.40,71.82049,100000.00000
0.250,0.01706406,0.10,124.54114,100000.00000
0.250,0.01706406,0.08,31.38596,100000.00000
0.250,0.01706406,0.00,149.83967,100000.00000
0.250,0.01706406,0.31,111.28586,100000.00000
