#nR_H,a_s,e_s,MA_s,tcol
0.250,0.04092095,0.48,131.86298,239.93233
0.250,0.04092095,0.43,118.60631,1382.50872
0.250,0.04092095,0.46,164.57378,1592.88669
0.250,0.04092095,0.36,119.73550,13568.37098
0.250,0.04092095,0.38,61.57471,17399.70370
0.250,0.04092095,0.32,65.35481,75621.37762
0.250,0.04092095,0.33,33.58206,100000.00000
0.250,0.04092095,0.31,161.13723,100000.00000
0.250,0.04092095,0.22,100.51277,100000.00000
0.250,0.04092095,0.19,132.31279,100000.00000
0.250,0.04092095,0.30,7.07618,100000.00000
0.250,0.04092095,0.47,117.25567,98.82050
0.250,0.04092095,0.17,31.17634,100000.00000
0.250,0.04092095,0.12,69.31759,100000.00000
0.250,0.04092095,0.03,177.63965,100000.00000
0.250,0.04092095,0.12,30.50869,100000.00000
0.250,0.04092095,0.28,63.10576,100000.00000
0.250,0.04092095,0.08,40.76924,100000.00000
0.250,0.04092095,0.16,98.86080,100000.00000
0.250,0.04092095,0.06,169.72375,100000.00000
0.250,0.04092095,0.02,93.61224,100000.00000
0.250,0.04092095,0.46,94.62423,81.70832
0.250,0.04092095,0.07,177.41708,100000.00000
0.250,0.04092095,0.26,179.39463,100000.00000
0.250,0.04092095,0.20,113.73070,100000.00000
0.250,0.04092095,0.37,54.24802,7620.39422
0.250,0.04092095,0.50,164.78789,76.53580
0.250,0.04092095,0.24,81.81739,100000.00000
0.250,0.04092095,0.05,29.01983,100000.00000
0.250,0.04092095,0.45,25.22037,2163.56517
0.250,0.04092095,0.35,74.13137,22890.63651
0.250,0.04092095,0.47,49.32994,376.30046
0.250,0.04092095,0.35,84.88371,39373.12333
0.250,0.04092095,0.32,122.23842,56607.03854
0.250,0.04092095,0.47,37.15583,114.09684
0.250,0.04092095,0.10,116.93392,100000.00000
0.250,0.04092095,0.12,153.20460,100000.00000
0.250,0.04092095,0.16,2.59083,100000.00000
0.250,0.04092095,0.01,8.36107,100000.00000
0.250,0.04092095,0.50,131.80048,23.07531
0.250,0.04092095,0.39,101.72397,1599.04413
0.250,0.04092095,0.22,66.71559,100000.00000
0.250,0.04092095,0.26,10.14759,100000.00000
0.250,0.04092095,0.20,57.47646,100000.00000
0.250,0.04092095,0.06,57.24063,100000.00000
0.250,0.04092095,0.33,20.16700,100000.00000
0.250,0.04092095,0.20,1.95078,100000.00000
0.250,0.04092095,0.00,28.07901,100000.00000
0.250,0.04092095,0.00,94.45616,100000.00000
0.250,0.04092095,0.07,90.48222,100000.00000
0.250,0.04092095,0.44,41.59346,3323.66245
0.250,0.04092095,0.00,107.75853,100000.00000
0.250,0.04092095,0.31,43.64469,100000.00000
0.250,0.04092095,0.31,48.46378,52368.63827
0.250,0.04092095,0.23,174.47446,100000.00000
0.250,0.04092095,0.20,162.96876,100000.00000
0.250,0.04092095,0.49,123.91243,15.41034
0.250,0.04092095,0.04,59.56164,100000.00000
0.250,0.04092095,0.39,62.22528,1818.41370
0.250,0.04092095,0.30,90.61511,100000.00000
0.250,0.04092095,0.42,12.07377,2525.91592
