#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03682886,0.31,134.54477,100000.00000
0.250,0.03682886,0.10,109.15723,100000.00000
0.250,0.03682886,0.14,138.59884,100000.00000
0.250,0.03682886,0.28,88.58093,100000.00000
0.250,0.03682886,0.44,2.34035,2338.53120
0.250,0.03682886,0.21,111.27925,100000.00000
0.250,0.03682886,0.14,94.00379,100000.00000
0.250,0.03682886,0.02,15.92865,100000.00000
0.250,0.03682886,0.21,18.20208,100000.00000
0.250,0.03682886,0.45,170.72160,2227.17230
0.250,0.03682886,0.09,95.33710,100000.00000
0.250,0.03682886,0.18,115.79188,100000.00000
0.250,0.03682886,0.06,60.77073,100000.00000
0.250,0.03682886,0.35,60.58877,6665.28730
0.250,0.03682886,0.24,8.18035,100000.00000
0.250,0.03682886,0.17,114.31686,100000.00000
0.250,0.03682886,0.10,124.54114,100000.00000
0.250,0.03682886,0.39,167.78129,4366.93821
0.250,0.03682886,0.46,161.01940,125.92377
0.250,0.03682886,0.38,130.00546,9993.85210
0.250,0.03682886,0.50,157.13025,26.11494
0.250,0.03682886,0.50,102.23014,3.63836
0.250,0.03682886,0.39,170.51100,2772.04489
0.250,0.03682886,0.32,89.71960,38389.14186
0.250,0.03682886,0.35,145.77740,95448.51359
0.250,0.03682886,0.10,0.91109,100000.00000
0.250,0.03682886,0.04,21.52696,100000.00000
0.250,0.03682886,0.49,48.98613,312.92732
0.250,0.03682886,0.30,143.89387,64138.98554
0.250,0.03682886,0.12,77.07315,100000.00000
0.250,0.03682886,0.45,68.34463,170.68815
0.250,0.03682886,0.43,94.39025,2262.36024
0.250,0.03682886,0.14,6.46961,100000.00000
0.250,0.03682886,0.05,91.54272,100000.00000
0.250,0.03682886,0.10,128.19226,100000.00000
0.250,0.03682886,0.04,101.02990,100000.00000
0.250,0.03682886,0.40,156.58134,5046.81902
0.250,0.03682886,0.45,61.52712,2047.38825
0.250,0.03682886,0.17,110.85302,100000.00000
0.250,0.03682886,0.30,30.40831,100000.00000
0.250,0.03682886,0.04,94.09191,100000.00000
0.250,0.03682886,0.28,24.54687,100000.00000
0.250,0.03682886,0.08,24.75377,100000.00000
0.250,0.03682886,0.19,66.96326,100000.00000
0.250,0.03682886,0.34,30.75977,90914.08510
0.250,0.03682886,0.21,25.73850,100000.00000
0.250,0.03682886,0.04,88.88321,100000.00000
0.250,0.03682886,0.09,20.42523,100000.00000
0.250,0.03682886,0.31,66.68498,100000.00000
0.250,0.03682886,0.31,83.25625,39774.62942
0.250,0.03682886,0.19,135.81772,100000.00000
0.250,0.03682886,0.07,9.26618,100000.00000
0.250,0.03682886,0.02,98.40785,100000.00000
0.250,0.03682886,0.27,120.88317,100000.00000
0.250,0.03682886,0.42,15.36294,9079.53751
0.250,0.03682886,0.03,13.32804,100000.00000
0.250,0.03682886,0.32,134.17910,100000.00000
0.250,0.03682886,0.26,99.97771,100000.00000
0.250,0.03682886,0.30,165.75703,100000.00000
0.250,0.03682886,0.19,31.93912,100000.00000
0.250,0.03682886,0.10,15.14519,100000.00000
0.250,0.03682886,0.21,15.13922,100000.00000
0.250,0.03682886,0.23,116.85785,100000.00000
0.250,0.03682886,0.25,170.96398,100000.00000
0.250,0.03682886,0.12,173.45160,100000.00000
0.250,0.03682886,0.21,16.41710,100000.00000
0.250,0.03682886,0.02,21.96688,100000.00000
0.250,0.03682886,0.29,88.67126,38792.43888
0.250,0.03682886,0.39,105.52137,4434.00755
0.250,0.03682886,0.17,90.56453,100000.00000
0.250,0.03682886,0.01,82.09260,100000.00000
0.250,0.03682886,0.22,139.88645,100000.00000
0.250,0.03682886,0.42,161.64977,60484.39305
0.250,0.03682886,0.33,64.09741,14017.03992
0.250,0.03682886,0.21,147.93481,100000.00000
0.250,0.03682886,0.36,151.52918,49133.34791
0.250,0.03682886,0.35,9.32824,57923.46441
0.250,0.03682886,0.02,89.13184,100000.00000
0.250,0.03682886,0.18,162.96312,100000.00000
0.250,0.03682886,0.10,115.56570,100000.00000
0.250,0.03682886,0.25,130.62951,100000.00000
0.250,0.03682886,0.37,41.79828,16208.28058
0.250,0.03682886,0.25,145.89960,100000.00000
0.250,0.03682886,0.47,1.97925,2199.20386
0.250,0.03682886,0.01,52.58604,100000.00000
0.250,0.03682886,0.24,105.17658,100000.00000
0.250,0.03682886,0.41,31.74966,19135.92816
0.250,0.03682886,0.08,57.74041,100000.00000
0.250,0.03682886,0.05,41.18367,100000.00000
0.250,0.03682886,0.11,31.87992,100000.00000
0.250,0.03682886,0.27,111.26308,100000.00000
0.250,0.03682886,0.06,41.02833,100000.00000
0.250,0.03682886,0.11,35.14374,100000.00000
0.250,0.03682886,0.43,32.74706,2207.06980
0.250,0.03682886,0.20,57.60893,100000.00000
0.250,0.03682886,0.46,21.19519,4481.12885
0.250,0.03682886,0.12,173.99787,100000.00000
0.250,0.03682886,0.02,35.27692,100000.00000
0.250,0.03682886,0.45,32.65838,1906.41907
0.250,0.03682886,0.24,82.01822,100000.00000
0.250,0.03682886,0.31,67.91115,30119.65368
0.250,0.03682886,0.23,67.47670,100000.00000
0.250,0.03682886,0.37,21.04165,25992.54957
0.250,0.03682886,0.49,16.48477,367.78299
0.250,0.03682886,0.46,114.02608,41.90404
0.250,0.03682886,0.05,5.65725,100000.00000
0.250,0.03682886,0.03,25.36636,100000.00000
0.250,0.03682886,0.37,25.06897,21287.95351
0.250,0.03682886,0.06,126.54341,100000.00000
0.250,0.03682886,0.09,140.37760,100000.00000
0.250,0.03682886,0.31,111.28586,100000.00000
0.250,0.03682886,0.20,90.94543,100000.00000
0.250,0.03682886,0.27,20.44037,100000.00000
0.250,0.03682886,0.47,68.96493,90.40974
0.250,0.03682886,0.45,99.36849,2124.55461
0.250,0.03682886,0.41,81.43911,1845.56240
0.250,0.03682886,0.44,18.73954,5080.31937
0.250,0.03682886,0.12,100.22423,100000.00000
0.250,0.03682886,0.16,99.78373,100000.00000
0.250,0.03682886,0.14,67.60493,100000.00000
0.250,0.03682886,0.33,174.50468,100000.00000
0.250,0.03682886,0.16,153.98290,100000.00000
0.250,0.03682886,0.41,132.75023,4757.36940
0.250,0.03682886,0.38,56.10997,18708.18665
0.250,0.03682886,0.45,78.50277,408.54861
0.250,0.03682886,0.42,36.92513,4324.96553
0.250,0.03682886,0.31,95.87111,46242.74178
0.250,0.03682886,0.46,46.41978,4374.92429
0.250,0.03682886,0.44,15.39154,2386.07583
0.250,0.03682886,0.23,2.18780,100000.00000
0.250,0.03682886,0.07,137.09153,100000.00000
0.250,0.03682886,0.13,92.04163,100000.00000
0.250,0.03682886,0.47,29.93101,157.90813
0.250,0.03682886,0.41,71.67037,1787.57751
0.250,0.03682886,0.00,149.83967,100000.00000
0.250,0.03682886,0.28,111.97561,100000.00000
0.250,0.03682886,0.47,119.70660,34.79894
0.250,0.03682886,0.29,13.65540,100000.00000
0.250,0.03682886,0.00,32.72849,100000.00000
0.250,0.03682886,0.12,66.62857,100000.00000
0.250,0.03682886,0.04,55.97682,100000.00000
0.250,0.03682886,0.42,11.82756,4854.98721
0.250,0.03682886,0.31,128.40293,100000.00000
0.250,0.03682886,0.42,101.67140,321.00493
0.250,0.03682886,0.19,167.53632,100000.00000
0.250,0.03682886,0.17,85.22492,100000.00000
0.250,0.03682886,0.39,72.15326,4737.34700
0.250,0.03682886,0.17,8.15472,100000.00000
0.250,0.03682886,0.44,120.25532,186.57450
0.250,0.03682886,0.13,126.35404,100000.00000
0.250,0.03682886,0.44,161.34045,1991.41705
0.250,0.03682886,0.28,166.78577,100000.00000
0.250,0.03682886,0.22,15.27079,100000.00000
0.250,0.03682886,0.01,30.69434,100000.00000
0.250,0.03682886,0.08,7.33953,100000.00000
0.250,0.03682886,0.01,141.33167,100000.00000
0.250,0.03682886,0.24,63.60340,100000.00000
0.250,0.03682886,0.40,151.00166,2339.79547
0.250,0.03682886,0.24,33.86181,100000.00000
0.250,0.03682886,0.38,143.51317,14299.44165
0.250,0.03682886,0.07,54.15810,100000.00000
0.250,0.03682886,0.13,143.69313,100000.00000
0.250,0.03682886,0.23,178.73366,100000.00000
0.250,0.03682886,0.23,94.15761,100000.00000
0.250,0.03682886,0.02,6.18993,100000.00000
0.250,0.03682886,0.39,32.68759,21466.31310
0.250,0.03682886,0.35,95.86610,25658.35273
0.250,0.03682886,0.29,82.64444,100000.00000
0.250,0.03682886,0.40,103.73190,3021.38677
0.250,0.03682886,0.07,163.48786,100000.00000
0.250,0.03682886,0.49,78.26892,26.34949
0.250,0.03682886,0.33,94.41205,30313.34471
0.250,0.03682886,0.13,157.92715,100000.00000
0.250,0.03682886,0.44,117.49430,1974.16918
0.250,0.03682886,0.14,112.12029,100000.00000
0.250,0.03682886,0.09,161.47985,100000.00000
0.250,0.03682886,0.31,37.68288,100000.00000
0.250,0.03682886,0.48,85.68907,28.86659
0.250,0.03682886,0.32,21.55718,100000.00000
0.250,0.03682886,0.00,77.75010,100000.00000
0.250,0.03682886,0.01,145.51152,100000.00000
0.250,0.03682886,0.42,134.99289,2077.62209
0.250,0.03682886,0.21,142.48423,100000.00000
0.250,0.03682886,0.44,32.13804,2078.17699
0.250,0.03682886,0.21,127.12360,100000.00000
0.250,0.03682886,0.25,167.89113,100000.00000
0.250,0.03682886,0.22,170.50474,100000.00000
0.250,0.03682886,0.29,7.35635,100000.00000
0.250,0.03682886,0.40,166.60233,4496.87790
0.250,0.03682886,0.45,147.13984,2050.65477
0.250,0.03682886,0.15,150.47642,100000.00000
0.250,0.03682886,0.32,57.97425,100000.00000
0.250,0.03682886,0.41,144.51362,14052.69124
0.250,0.03682886,0.50,32.50356,200.35563
0.250,0.03682886,0.32,77.69872,35593.91102
0.250,0.03682886,0.06,1.25138,100000.00000
0.250,0.03682886,0.33,155.79128,100000.00000
0.250,0.03682886,0.26,23.24870,100000.00000
0.250,0.03682886,0.03,97.68529,100000.00000
0.250,0.03682886,0.14,64.83432,100000.00000
0.250,0.03682886,0.50,7.09683,90.89028
0.250,0.03682886,0.11,70.75759,100000.00000
0.250,0.03682886,0.05,13.85638,100000.00000
0.250,0.03682886,0.22,88.67252,100000.00000
0.250,0.03682886,0.43,79.33729,2740.18638
0.250,0.03682886,0.40,132.55996,2109.08015
0.250,0.03682886,0.50,33.32393,271.13770
0.250,0.03682886,0.29,176.40586,100000.00000
0.250,0.03682886,0.12,169.28254,100000.00000
0.250,0.03682886,0.06,39.97941,100000.00000
0.250,0.03682886,0.50,6.11028,116.45603
0.250,0.03682886,0.49,125.04537,13.00884
0.250,0.03682886,0.03,50.56821,100000.00000
0.250,0.03682886,0.06,145.33923,100000.00000
0.250,0.03682886,0.29,34.61202,100000.00000
0.250,0.03682886,0.19,178.29093,100000.00000
0.250,0.03682886,0.50,124.60978,6.75613
0.250,0.03682886,0.36,157.89610,21429.69498
0.250,0.03682886,0.25,110.41473,100000.00000
0.250,0.03682886,0.41,40.42887,5461.44300
0.250,0.03682886,0.02,174.52523,100000.00000
0.250,0.03682886,0.14,83.80764,100000.00000
0.250,0.03682886,0.32,15.64565,100000.00000
0.250,0.03682886,0.48,129.42826,61.34865
0.250,0.03682886,0.05,160.66062,100000.00000
0.250,0.03682886,0.47,107.53436,91.45091
0.250,0.03682886,0.18,69.87059,100000.00000
0.250,0.03682886,0.17,88.49086,100000.00000
0.250,0.03682886,0.23,21.15472,100000.00000
0.250,0.03682886,0.47,99.75204,87.14323
0.250,0.03682886,0.50,169.93068,114.31078
0.250,0.03682886,0.01,92.56220,100000.00000
0.250,0.03682886,0.34,100.21732,32936.80047
0.250,0.03682886,0.08,69.61236,100000.00000
0.250,0.03682886,0.14,15.36254,100000.00000
0.250,0.03682886,0.48,53.48191,128.54385
0.250,0.03682886,0.37,169.16978,4511.46566
0.250,0.03682886,0.17,12.70237,100000.00000
0.250,0.03682886,0.09,61.39194,100000.00000
0.250,0.03682886,0.31,66.40445,71613.09222
0.250,0.03682886,0.03,139.00406,100000.00000
0.250,0.03682886,0.27,157.79765,100000.00000
0.250,0.03682886,0.33,27.51465,100000.00000
0.250,0.03682886,0.37,96.02300,7093.45787
0.250,0.03682886,0.35,58.02369,28326.44701
0.250,0.03682886,0.14,16.91675,100000.00000
0.250,0.03682886,0.03,149.17275,100000.00000
0.250,0.03682886,0.36,29.45807,77415.96301
0.250,0.03682886,0.36,94.15178,6903.23357
0.250,0.03682886,0.27,153.39267,100000.00000
0.250,0.03682886,0.03,131.22129,100000.00000
0.250,0.03682886,0.10,29.09317,100000.00000
0.250,0.03682886,0.09,162.07525,100000.00000
0.250,0.03682886,0.33,177.57274,99446.94228
0.250,0.03682886,0.00,155.91171,100000.00000
0.250,0.03682886,0.17,112.65479,100000.00000
0.250,0.03682886,0.20,70.05630,100000.00000
0.250,0.03682886,0.09,157.92108,100000.00000
0.250,0.03682886,0.39,125.39715,2558.07974
0.250,0.03682886,0.25,123.25161,100000.00000
0.250,0.03682886,0.39,110.06176,4585.11379
0.250,0.03682886,0.33,14.44207,87746.58053
0.250,0.03682886,0.14,5.49005,100000.00000
0.250,0.03682886,0.24,113.29175,100000.00000
0.250,0.03682886,0.44,149.43958,2238.45349
0.250,0.03682886,0.37,161.92342,7103.44047
0.250,0.03682886,0.37,112.36284,18273.14553
0.250,0.03682886,0.43,4.56954,4870.74199
0.250,0.03682886,0.18,173.01430,100000.00000
0.250,0.03682886,0.10,117.35303,100000.00000
0.250,0.03682886,0.25,55.71497,100000.00000
0.250,0.03682886,0.21,126.17444,100000.00000
0.250,0.03682886,0.32,96.67918,29826.38264
0.250,0.03682886,0.23,156.34784,100000.00000
0.250,0.03682886,0.10,152.86021,100000.00000
0.250,0.03682886,0.14,60.83913,100000.00000
0.250,0.03682886,0.03,138.82866,100000.00000
0.250,0.03682886,0.43,170.30078,2151.98530
0.250,0.03682886,0.32,105.63140,18902.23808
0.250,0.03682886,0.18,35.24240,100000.00000
0.250,0.03682886,0.14,6.72267,100000.00000
0.250,0.03682886,0.14,106.34999,100000.00000
0.250,0.03682886,0.02,139.52391,100000.00000
0.250,0.03682886,0.26,174.58459,100000.00000
0.250,0.03682886,0.29,161.42191,100000.00000
0.250,0.03682886,0.45,48.25145,189.64079
0.250,0.03682886,0.46,103.77297,86.84576
0.250,0.03682886,0.31,80.53423,48692.52890
0.250,0.03682886,0.29,120.16039,100000.00000
0.250,0.03682886,0.08,96.43944,100000.00000
0.250,0.03682886,0.43,115.91992,2159.59382
0.250,0.03682886,0.31,95.78043,53349.28858
0.250,0.03682886,0.42,32.04647,2129.94349
0.250,0.03682886,0.18,146.60433,100000.00000
0.250,0.03682886,0.43,81.59199,1992.79001
0.250,0.03682886,0.37,142.92453,11502.60903
0.250,0.03682886,0.23,173.19106,100000.00000
0.250,0.03682886,0.34,109.91161,20549.45281
0.250,0.03682886,0.08,92.17675,100000.00000
0.250,0.03682886,0.03,146.78306,100000.00000
0.250,0.03682886,0.07,43.56995,100000.00000
0.250,0.03682886,0.08,168.61140,100000.00000
0.250,0.03682886,0.48,38.68927,109.69990
0.250,0.03682886,0.18,122.94122,100000.00000
0.250,0.03682886,0.22,177.59512,100000.00000
0.250,0.03682886,0.26,68.56035,100000.00000
0.250,0.03682886,0.07,88.10150,100000.00000
0.250,0.03682886,0.11,90.47468,100000.00000
0.250,0.03682886,0.48,107.43171,83.47627
0.250,0.03682886,0.14,160.20096,100000.00000
0.250,0.03682886,0.23,7.76878,100000.00000
0.250,0.03682886,0.41,25.35426,6928.51901
0.250,0.03682886,0.19,77.21892,100000.00000
0.250,0.03682886,0.42,90.39510,7139.88697
0.250,0.03682886,0.27,72.62692,100000.00000
0.250,0.03682886,0.11,88.65318,100000.00000
0.250,0.03682886,0.30,49.83798,100000.00000
0.250,0.03682886,0.40,109.20871,2787.49646
0.250,0.03682886,0.35,131.55615,88669.25304
0.250,0.03682886,0.34,120.35578,43490.38178
0.250,0.03682886,0.03,13.41912,100000.00000
0.250,0.03682886,0.09,46.42949,100000.00000
0.250,0.03682886,0.32,106.84664,32090.64215
0.250,0.03682886,0.50,118.58101,12.52831
0.250,0.03682886,0.24,50.57337,100000.00000
0.250,0.03682886,0.32,38.06064,100000.00000
0.250,0.03682886,0.08,2.98581,100000.00000
0.250,0.03682886,0.22,2.04366,100000.00000
