#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03273676,0.48,131.86298,105.08966
0.250,0.03273676,0.46,164.57378,481.36050
0.250,0.03273676,0.38,61.57471,6198.81325
0.250,0.03273676,0.43,118.60631,6645.43951
0.250,0.03273676,0.36,119.73550,9541.70476
0.250,0.03273676,0.32,65.35481,14468.94273
0.250,0.03273676,0.12,69.31759,100000.00000
0.250,0.03273676,0.22,100.51277,100000.00000
0.250,0.03273676,0.31,161.13723,100000.00000
0.250,0.03273676,0.33,33.58206,100000.00000
0.250,0.03273676,0.16,98.86080,100000.00000
0.250,0.03273676,0.19,132.31279,100000.00000
0.250,0.03273676,0.47,117.25567,27.08264
0.250,0.03273676,0.17,31.17634,100000.00000
0.250,0.03273676,0.30,7.07618,100000.00000
0.250,0.03273676,0.28,63.10576,100000.00000
0.250,0.03273676,0.08,40.76924,100000.00000
0.250,0.03273676,0.03,177.63965,100000.00000
0.250,0.03273676,0.12,30.50869,100000.00000
0.250,0.03273676,0.06,169.72375,100000.00000
0.250,0.03273676,0.02,93.61224,100000.00000
0.250,0.03273676,0.07,177.41708,100000.00000
0.250,0.03273676,0.46,94.62423,67.28231
0.250,0.03273676,0.26,179.39463,100000.00000
0.250,0.03273676,0.24,81.81739,100000.00000
0.250,0.03273676,0.45,25.22037,142.09637
0.250,0.03273676,0.37,54.24802,3466.11297
0.250,0.03273676,0.50,164.78789,24.53690
0.250,0.03273676,0.20,113.73070,100000.00000
0.250,0.03273676,0.05,29.01983,100000.00000
0.250,0.03273676,0.35,74.13137,12297.95913
0.250,0.03273676,0.47,49.32994,353.96805
0.250,0.03273676,0.10,116.93392,100000.00000
0.250,0.03273676,0.35,84.88371,18027.92485
0.250,0.03273676,0.32,122.23842,24064.69291
0.250,0.03273676,0.47,37.15583,172.35279
0.250,0.03273676,0.30,90.61511,59953.77508
0.250,0.03273676,0.42,12.07377,2980.33698
0.250,0.03273676,0.20,1.95078,100000.00000
0.250,0.03273676,0.16,2.59083,100000.00000
0.250,0.03273676,0.12,153.20460,100000.00000
0.250,0.03273676,0.22,66.71559,100000.00000
0.250,0.03273676,0.26,10.14759,100000.00000
0.250,0.03273676,0.20,162.96876,100000.00000
0.250,0.03273676,0.49,123.91243,21.67474
0.250,0.03273676,0.01,8.36107,100000.00000
0.250,0.03273676,0.50,131.80048,13.61563
0.250,0.03273676,0.20,57.47646,100000.00000
0.250,0.03273676,0.06,57.24063,100000.00000
0.250,0.03273676,0.00,28.07901,100000.00000
0.250,0.03273676,0.33,20.16700,100000.00000
0.250,0.03273676,0.00,107.75853,100000.00000
0.250,0.03273676,0.00,94.45616,100000.00000
0.250,0.03273676,0.39,101.72397,9452.62785
0.250,0.03273676,0.31,43.64469,100000.00000
0.250,0.03273676,0.38,147.82631,6220.17158
0.250,0.03273676,0.07,90.48222,100000.00000
0.250,0.03273676,0.23,174.47446,100000.00000
0.250,0.03273676,0.44,41.59346,12276.58163
0.250,0.03273676,0.02,46.58040,100000.00000
0.250,0.03273676,0.04,59.56164,100000.00000
0.250,0.03273676,0.39,62.22528,3512.29105
0.250,0.03273676,0.31,48.46378,100000.00000
0.250,0.03273676,0.12,17.49177,100000.00000
0.250,0.03273676,0.11,113.60495,100000.00000
0.250,0.03273676,0.23,94.98620,100000.00000
0.250,0.03273676,0.30,113.02207,100000.00000
0.250,0.03273676,0.38,115.40657,427.25754
0.250,0.03273676,0.27,41.15570,100000.00000
0.250,0.03273676,0.42,74.63234,2838.77756
0.250,0.03273676,0.17,29.32820,100000.00000
0.250,0.03273676,0.09,43.53341,100000.00000
0.250,0.03273676,0.10,98.77208,100000.00000
0.250,0.03273676,0.42,84.97205,653.17154
0.250,0.03273676,0.32,22.96446,100000.00000
0.250,0.03273676,0.33,31.20725,100000.00000
0.250,0.03273676,0.11,4.37687,100000.00000
0.250,0.03273676,0.04,155.35862,100000.00000
0.250,0.03273676,0.20,52.77794,100000.00000
0.250,0.03273676,0.20,171.10929,100000.00000
0.250,0.03273676,0.24,162.20844,100000.00000
0.250,0.03273676,0.30,31.86189,100000.00000
0.250,0.03273676,0.05,163.36196,100000.00000
0.250,0.03273676,0.04,138.77409,100000.00000
0.250,0.03273676,0.39,97.69040,9706.05118
0.250,0.03273676,0.43,39.95499,19210.26022
0.250,0.03273676,0.43,27.94324,6599.42923
0.250,0.03273676,0.36,67.85000,18251.22119
0.250,0.03273676,0.43,100.73526,157.94611
0.250,0.03273676,0.23,174.57819,100000.00000
0.250,0.03273676,0.33,28.92265,100000.00000
0.250,0.03273676,0.27,100.96883,100000.00000
