#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.259,0.00100,0.25900,0.00010,0.36223,6.42100e+09
0.262,0.00100,0.26200,0.00010,0.35484,6.92000e+09
0.265,0.00100,0.26500,0.00010,0.34745,7.45200e+09
0.268,0.00100,0.26800,0.00010,0.34006,8.01800e+09
0.271,0.00100,0.27100,0.00010,0.33268,8.61900e+09
0.274,0.00100,0.27400,0.00010,0.32529,9.25900e+09
0.277,0.00100,0.27700,0.00010,0.31790,9.93800e+09
0.280,0.00100,0.27726,0.00010,0.31051,1.00000e+10
0.283,0.00100,0.27726,0.00010,0.30313,1.00000e+10
0.286,0.00100,0.27726,0.00010,0.29574,1.00000e+10
0.292,0.00100,0.27726,0.00010,0.28097,1.00000e+10
0.295,0.00100,0.27726,0.00010,0.27358,1.00000e+10
0.298,0.00100,0.27726,0.00010,0.26619,1.00000e+10
0.301,0.00100,0.27726,0.00010,0.25880,1.00000e+10
0.304,0.00100,0.27726,0.00010,0.25142,1.00000e+10
0.307,0.00100,0.27726,0.00010,0.24403,1.00000e+10
0.310,0.00100,0.27726,0.00010,0.23664,1.00000e+10
0.313,0.00100,0.27726,0.00010,0.22925,1.00000e+10
0.289,0.00100,0.27726,0.00010,0.28835,1.00000e+10
0.160,0.00125,0.16007,0.00010,0.60601,2.24000e+08
0.316,0.00100,0.27726,0.00010,0.22187,1.00000e+10
0.163,0.00125,0.16308,0.00010,0.59862,2.53000e+08
0.319,0.00100,0.27726,0.00010,0.21448,1.00000e+10
0.166,0.00125,0.16608,0.00010,0.59123,2.85000e+08
0.322,0.00100,0.27726,0.00010,0.20709,1.00000e+10
0.169,0.00125,0.16906,0.00010,0.58385,3.20000e+08
0.325,0.00100,0.27726,0.00010,0.19970,1.00000e+10
0.175,0.00125,0.17501,0.00010,0.56907,4.01000e+08
0.172,0.00125,0.17206,0.00010,0.57646,3.59000e+08
0.178,0.00125,0.17801,0.00010,0.56168,4.48000e+08
0.181,0.00125,0.18104,0.00010,0.55430,5.00000e+08
0.184,0.00125,0.18401,0.00010,0.54691,5.56000e+08
0.187,0.00125,0.18702,0.00010,0.53952,6.18000e+08
0.190,0.00125,0.19000,0.00010,0.53213,6.85000e+08
0.193,0.00125,0.19302,0.00010,0.52475,7.59000e+08
0.328,0.00100,0.27726,0.00010,0.19232,1.00000e+10
0.196,0.00125,0.19601,0.00010,0.51736,8.39000e+08
0.199,0.00125,0.19901,0.00010,0.50997,9.26000e+08
0.331,0.00100,0.27726,0.00010,0.18493,1.00000e+10
0.202,0.00125,0.20202,0.00010,0.50259,1.02100e+09
0.334,0.00100,0.27726,0.00010,0.17754,1.00000e+10
0.205,0.00125,0.20502,0.00010,0.49520,1.12400e+09
0.208,0.00125,0.20801,0.00010,0.48781,1.23500e+09
0.337,0.00100,0.27726,0.00010,0.17016,1.00000e+10
0.211,0.00125,0.21102,0.00010,0.48042,1.35600e+09
0.214,0.00125,0.21401,0.00010,0.47304,1.48600e+09
0.340,0.00100,0.27726,0.00010,0.16277,1.00000e+10
0.217,0.00125,0.21702,0.00010,0.46565,1.62700e+09
0.343,0.00100,0.27726,0.00010,0.15538,1.00000e+10
0.220,0.00125,0.22002,0.00010,0.45826,1.77900e+09
0.223,0.00125,0.22300,0.00010,0.45087,1.94200e+09
0.346,0.00100,0.27726,0.00010,0.14799,1.00000e+10
0.226,0.00125,0.22601,0.00010,0.44349,2.11900e+09
0.349,0.00100,0.27726,0.00010,0.14061,1.00000e+10
0.229,0.00125,0.22900,0.00010,0.43610,2.30800e+09
0.232,0.00125,0.23201,0.00010,0.42871,2.51200e+09
0.352,0.00100,0.27726,0.00010,0.13322,1.00000e+10
0.238,0.00125,0.23801,0.00010,0.41394,2.96600e+09
0.235,0.00125,0.23501,0.00010,0.42132,2.73100e+09
0.241,0.00125,0.24100,0.00010,0.40655,3.21700e+09
0.355,0.00100,0.27726,0.00010,0.12583,1.00000e+10
0.244,0.00125,0.24401,0.00010,0.39916,3.48700e+09
0.358,0.00100,0.27726,0.00010,0.11844,1.00000e+10
0.247,0.00125,0.24700,0.00010,0.39178,3.77500e+09
0.250,0.00125,0.25000,0.00010,0.38439,4.08300e+09
0.361,0.00100,0.27726,0.00010,0.11106,1.00000e+10
0.364,0.00100,0.27726,0.00010,0.10367,1.00000e+10
0.367,0.00100,0.27726,0.00010,0.09628,1.00000e+10
0.370,0.00100,0.27726,0.00010,0.08889,1.00000e+10
0.253,0.00125,0.25301,0.00010,0.37700,4.41300e+09
0.376,0.00100,0.27726,0.00010,0.07412,1.00000e+10
0.373,0.00100,0.27726,0.00010,0.08151,1.00000e+10
0.256,0.00125,0.25600,0.00010,0.36961,4.76400e+09
0.379,0.00100,0.27726,0.00010,0.06673,1.00000e+10
0.382,0.00100,0.27726,0.00010,0.05934,1.00000e+10
0.259,0.00125,0.25900,0.00010,0.36223,5.13900e+09
0.262,0.00125,0.26200,0.00010,0.35484,5.53800e+09
0.265,0.00125,0.26500,0.00010,0.34745,5.96400e+09
0.268,0.00125,0.26800,0.00010,0.34006,6.41700e+09
0.271,0.00125,0.27100,0.00010,0.33268,6.89800e+09
0.274,0.00125,0.27400,0.00010,0.32529,7.41000e+09
0.277,0.00125,0.27700,0.00010,0.31790,7.95400e+09
0.280,0.00125,0.28000,0.00010,0.31051,8.53100e+09
0.283,0.00125,0.28300,0.00010,0.30313,9.14200e+09
0.286,0.00125,0.28600,0.00010,0.29574,9.79100e+09
0.289,0.00125,0.28693,0.00010,0.28835,1.00000e+10
0.298,0.00125,0.28693,0.00010,0.26619,1.00000e+10
0.295,0.00125,0.28693,0.00010,0.27358,1.00000e+10
0.301,0.00125,0.28693,0.00010,0.25880,1.00000e+10
0.304,0.00125,0.28693,0.00010,0.25142,1.00000e+10
0.307,0.00125,0.28693,0.00010,0.24403,1.00000e+10
0.292,0.00125,0.28693,0.00010,0.28097,1.00000e+10
0.310,0.00125,0.28693,0.00010,0.23664,1.00000e+10
0.316,0.00125,0.28693,0.00010,0.22187,1.00000e+10
0.313,0.00125,0.28693,0.00010,0.22925,1.00000e+10
0.160,0.00150,0.16012,0.00010,0.60601,1.87000e+08
0.163,0.00150,0.16311,0.00010,0.59862,2.11000e+08
0.319,0.00125,0.28693,0.00010,0.21448,1.00000e+10
0.322,0.00125,0.28693,0.00010,0.20709,1.00000e+10
0.325,0.00125,0.28693,0.00010,0.19970,1.00000e+10
0.328,0.00125,0.28693,0.00010,0.19232,1.00000e+10
0.331,0.00125,0.28693,0.00010,0.18493,1.00000e+10
0.169,0.00150,0.16909,0.00010,0.58385,2.67000e+08
0.334,0.00125,0.28693,0.00010,0.17754,1.00000e+10
0.337,0.00125,0.28693,0.00010,0.17016,1.00000e+10
0.166,0.00150,0.16604,0.00010,0.59123,2.37000e+08
0.172,0.00150,0.17205,0.00010,0.57646,2.99000e+08
0.175,0.00150,0.17508,0.00010,0.56907,3.35000e+08
0.178,0.00150,0.17806,0.00010,0.56168,3.74000e+08
0.181,0.00150,0.18106,0.00010,0.55430,4.17000e+08
0.340,0.00125,0.28693,0.00010,0.16277,1.00000e+10
0.184,0.00150,0.18405,0.00010,0.54691,4.64000e+08
0.187,0.00150,0.18702,0.00010,0.53952,5.15000e+08
0.190,0.00150,0.19001,0.00010,0.53213,5.71000e+08
0.343,0.00125,0.28693,0.00010,0.15538,1.00000e+10
0.193,0.00150,0.19304,0.00010,0.52475,6.33000e+08
0.196,0.00150,0.19600,0.00010,0.51736,6.99000e+08
0.346,0.00125,0.28693,0.00010,0.14799,1.00000e+10
0.199,0.00150,0.19901,0.00010,0.50997,7.72000e+08
0.202,0.00150,0.20202,0.00010,0.50259,8.51000e+08
0.205,0.00150,0.20503,0.00010,0.49520,9.37000e+08
0.349,0.00125,0.28693,0.00010,0.14061,1.00000e+10
0.211,0.00150,0.21101,0.00010,0.48042,1.13000e+09
0.208,0.00150,0.20803,0.00010,0.48781,1.03000e+09
0.214,0.00150,0.21402,0.00010,0.47304,1.23900e+09
0.217,0.00150,0.21701,0.00010,0.46565,1.35600e+09
0.220,0.00150,0.22002,0.00010,0.45826,1.48300e+09
0.352,0.00125,0.28693,0.00010,0.13322,1.00000e+10
0.223,0.00150,0.22301,0.00010,0.45087,1.61900e+09
0.226,0.00150,0.22601,0.00010,0.44349,1.76600e+09
0.355,0.00125,0.28693,0.00010,0.12583,1.00000e+10
0.229,0.00150,0.22900,0.00010,0.43610,1.92400e+09
0.232,0.00150,0.23200,0.00010,0.42871,2.09400e+09
0.235,0.00150,0.23501,0.00010,0.42132,2.27700e+09
0.358,0.00125,0.28693,0.00010,0.11844,1.00000e+10
0.238,0.00150,0.23800,0.00010,0.41394,2.47200e+09
0.241,0.00150,0.24100,0.00010,0.40655,2.68200e+09
0.361,0.00125,0.28693,0.00010,0.11106,1.00000e+10
0.244,0.00150,0.24401,0.00010,0.39916,2.90700e+09
0.247,0.00150,0.24700,0.00010,0.39178,3.14700e+09
0.364,0.00125,0.28693,0.00010,0.10367,1.00000e+10
0.250,0.00150,0.25000,0.00010,0.38439,3.40400e+09
0.253,0.00150,0.25301,0.00010,0.37700,3.67900e+09
0.367,0.00125,0.28693,0.00010,0.09628,1.00000e+10
0.256,0.00150,0.25601,0.00010,0.36961,3.97200e+09
0.259,0.00150,0.25900,0.00010,0.36223,4.28400e+09
0.370,0.00125,0.28693,0.00010,0.08889,1.00000e+10
0.265,0.00150,0.26500,0.00010,0.34745,4.97200e+09
0.373,0.00125,0.28693,0.00010,0.08151,1.00000e+10
0.262,0.00150,0.26200,0.00010,0.35484,4.61700e+09
0.268,0.00150,0.26801,0.00010,0.34006,5.35000e+09
0.376,0.00125,0.28693,0.00010,0.07412,1.00000e+10
0.379,0.00125,0.28693,0.00010,0.06673,1.00000e+10
0.271,0.00150,0.27100,0.00010,0.33268,5.75100e+09
0.382,0.00125,0.28693,0.00010,0.05934,1.00000e+10
0.274,0.00150,0.27401,0.00010,0.32529,6.17800e+09
0.277,0.00150,0.27700,0.00010,0.31790,6.63100e+09
