#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.229,0.00125,0.17473,0.00973,0.43610,1.00000e+10
0.232,0.00125,0.17477,0.00973,0.42871,1.00000e+10
0.235,0.00125,0.17481,0.00974,0.42132,1.00000e+10
0.241,0.00125,0.17488,0.00975,0.40655,1.00000e+10
0.238,0.00125,0.17484,0.00974,0.41394,1.00000e+10
0.247,0.00125,0.17494,0.00976,0.39178,1.00000e+10
0.244,0.00125,0.17491,0.00975,0.39916,1.00000e+10
0.250,0.00125,0.17497,0.00976,0.38439,1.00000e+10
0.256,0.00125,0.17502,0.00977,0.36961,1.00000e+10
0.253,0.00125,0.17500,0.00977,0.37700,1.00000e+10
0.259,0.00125,0.17504,0.00977,0.36223,1.00000e+10
0.262,0.00125,0.17507,0.00978,0.35484,1.00000e+10
0.265,0.00125,0.17509,0.00978,0.34745,1.00000e+10
0.268,0.00125,0.17511,0.00978,0.34006,1.00000e+10
0.271,0.00125,0.17512,0.00979,0.33268,1.00000e+10
0.274,0.00125,0.17514,0.00979,0.32529,1.00000e+10
0.277,0.00125,0.17516,0.00979,0.31790,1.00000e+10
0.286,0.00125,0.17520,0.00980,0.29574,1.00000e+10
0.283,0.00125,0.17519,0.00980,0.30313,1.00000e+10
0.280,0.00125,0.17517,0.00979,0.31051,1.00000e+10
0.289,0.00125,0.17521,0.00980,0.28835,1.00000e+10
0.295,0.00125,0.17524,0.00980,0.27358,1.00000e+10
0.292,0.00125,0.17523,0.00980,0.28097,1.00000e+10
0.301,0.00125,0.17526,0.00981,0.25880,1.00000e+10
0.304,0.00125,0.17527,0.00981,0.25142,1.00000e+10
0.298,0.00125,0.17525,0.00981,0.26619,1.00000e+10
0.307,0.00125,0.17528,0.00981,0.24403,1.00000e+10
0.310,0.00125,0.17529,0.00981,0.23664,1.00000e+10
0.316,0.00125,0.17530,0.00981,0.22187,1.00000e+10
0.313,0.00125,0.17530,0.00981,0.22925,1.00000e+10
0.319,0.00125,0.17531,0.00982,0.21448,1.00000e+10
0.322,0.00125,0.17532,0.00982,0.20709,1.00000e+10
0.325,0.00125,0.17532,0.00982,0.19970,1.00000e+10
0.328,0.00125,0.17533,0.00982,0.19232,1.00000e+10
0.334,0.00125,0.17534,0.00982,0.17754,1.00000e+10
0.331,0.00125,0.17534,0.00982,0.18493,1.00000e+10
0.337,0.00125,0.17535,0.00982,0.17016,1.00000e+10
0.340,0.00125,0.17535,0.00982,0.16277,1.00000e+10
0.343,0.00125,0.17536,0.00982,0.15538,1.00000e+10
0.346,0.00125,0.17536,0.00982,0.14799,1.00000e+10
0.349,0.00125,0.17537,0.00982,0.14061,1.00000e+10
0.352,0.00125,0.17537,0.00982,0.13322,1.00000e+10
0.160,0.00150,0.16000,0.00764,0.60601,4.90100e+09
0.163,0.00150,0.16300,0.00804,0.59862,5.55100e+09
0.355,0.00125,0.17537,0.00983,0.12583,1.00000e+10
0.166,0.00150,0.16600,0.00845,0.59123,6.27400e+09
0.358,0.00125,0.17538,0.00983,0.11844,1.00000e+10
0.169,0.00150,0.16900,0.00887,0.58385,7.07700e+09
0.361,0.00125,0.17538,0.00983,0.11106,1.00000e+10
0.172,0.00150,0.17200,0.00931,0.57646,7.96700e+09
0.364,0.00125,0.17538,0.00983,0.10367,1.00000e+10
0.367,0.00125,0.17538,0.00983,0.09628,1.00000e+10
0.175,0.00150,0.17500,0.00976,0.56907,8.95300e+09
0.370,0.00125,0.17539,0.00983,0.08889,1.00000e+10
0.376,0.00125,0.17539,0.00983,0.07412,1.00000e+10
0.373,0.00125,0.17539,0.00983,0.08151,1.00000e+10
0.379,0.00125,0.17539,0.00983,0.06673,1.00000e+10
0.382,0.00125,0.17539,0.00983,0.05934,1.00000e+10
0.178,0.00150,0.17789,0.01021,0.56168,1.00000e+10
0.184,0.00150,0.17819,0.01025,0.54691,1.00000e+10
0.181,0.00150,0.17804,0.01023,0.55430,1.00000e+10
0.187,0.00150,0.17832,0.01027,0.53952,1.00000e+10
0.190,0.00150,0.17844,0.01029,0.53214,1.00000e+10
0.199,0.00150,0.17874,0.01034,0.50997,1.00000e+10
0.196,0.00150,0.17865,0.01033,0.51736,1.00000e+10
0.193,0.00150,0.17855,0.01031,0.52475,1.00000e+10
0.202,0.00150,0.17883,0.01036,0.50259,1.00000e+10
0.205,0.00150,0.17891,0.01037,0.49520,1.00000e+10
0.208,0.00150,0.17899,0.01038,0.48781,1.00000e+10
0.211,0.00150,0.17906,0.01039,0.48042,1.00000e+10
0.214,0.00150,0.17912,0.01040,0.47304,1.00000e+10
0.217,0.00150,0.17918,0.01041,0.46565,1.00000e+10
0.223,0.00150,0.17929,0.01043,0.45087,1.00000e+10
0.220,0.00150,0.17924,0.01042,0.45826,1.00000e+10
0.226,0.00150,0.17934,0.01044,0.44349,1.00000e+10
0.229,0.00150,0.17938,0.01045,0.43610,1.00000e+10
0.232,0.00150,0.17943,0.01045,0.42871,1.00000e+10
0.235,0.00150,0.17947,0.01046,0.42132,1.00000e+10
0.238,0.00150,0.17950,0.01047,0.41394,1.00000e+10
