#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.367,0.00100,0.27404,0.00837,0.09628,1.00000e+10
0.370,0.00100,0.27411,0.00838,0.08889,1.00000e+10
0.247,0.00125,0.24700,0.00630,0.39178,4.27800e+09
0.373,0.00100,0.27418,0.00839,0.08151,1.00000e+10
0.376,0.00100,0.27424,0.00839,0.07412,1.00000e+10
0.250,0.00125,0.25001,0.00651,0.38439,4.67400e+09
0.379,0.00100,0.27429,0.00840,0.06673,1.00000e+10
0.382,0.00100,0.27434,0.00840,0.05935,1.00000e+10
0.253,0.00125,0.25300,0.00673,0.37700,5.10300e+09
0.256,0.00125,0.25600,0.00695,0.36961,5.57000e+09
0.259,0.00125,0.25900,0.00717,0.36223,6.07800e+09
0.262,0.00125,0.26200,0.00740,0.35484,6.63100e+09
0.265,0.00125,0.26500,0.00763,0.34745,7.23400e+09
0.268,0.00125,0.26800,0.00787,0.34006,7.89100e+09
0.271,0.00125,0.27100,0.00811,0.33268,8.60800e+09
0.274,0.00125,0.27400,0.00836,0.32529,9.39200e+09
0.277,0.00125,0.27628,0.00855,0.31790,1.00000e+10
0.280,0.00125,0.27673,0.00859,0.31052,1.00000e+10
0.283,0.00125,0.27716,0.00862,0.30313,1.00000e+10
0.286,0.00125,0.27756,0.00866,0.29574,1.00000e+10
0.289,0.00125,0.27795,0.00869,0.28835,1.00000e+10
0.295,0.00125,0.27866,0.00876,0.27358,1.00000e+10
0.292,0.00125,0.27831,0.00872,0.28097,1.00000e+10
0.298,0.00125,0.27899,0.00878,0.26619,1.00000e+10
0.301,0.00125,0.27930,0.00881,0.25880,1.00000e+10
0.304,0.00125,0.27960,0.00884,0.25142,1.00000e+10
0.307,0.00125,0.27988,0.00886,0.24403,1.00000e+10
0.313,0.00125,0.28040,0.00891,0.22925,1.00000e+10
0.319,0.00125,0.28086,0.00895,0.21448,1.00000e+10
0.316,0.00125,0.28064,0.00893,0.22187,1.00000e+10
0.160,0.00150,0.16002,0.00194,0.60601,1.80000e+08
0.310,0.00125,0.28014,0.00889,0.23664,1.00000e+10
0.322,0.00125,0.28108,0.00897,0.20709,1.00000e+10
0.163,0.00150,0.16305,0.00204,0.59862,2.04000e+08
0.328,0.00125,0.28147,0.00900,0.19232,1.00000e+10
0.325,0.00125,0.28128,0.00899,0.19970,1.00000e+10
0.166,0.00150,0.16602,0.00214,0.59123,2.30000e+08
0.331,0.00125,0.28166,0.00902,0.18493,1.00000e+10
0.169,0.00150,0.16900,0.00225,0.58385,2.59000e+08
0.334,0.00125,0.28183,0.00904,0.17754,1.00000e+10
0.172,0.00150,0.17206,0.00236,0.57646,2.92000e+08
0.175,0.00150,0.17501,0.00247,0.56907,3.27000e+08
0.337,0.00125,0.28199,0.00905,0.17016,1.00000e+10
0.178,0.00150,0.17805,0.00259,0.56168,3.67000e+08
0.181,0.00150,0.18102,0.00271,0.55430,4.10000e+08
0.184,0.00150,0.18403,0.00283,0.54691,4.58000e+08
0.187,0.00150,0.18701,0.00296,0.53952,5.10000e+08
0.190,0.00150,0.19003,0.00309,0.53214,5.68000e+08
0.193,0.00150,0.19302,0.00323,0.52475,6.31000e+08
0.196,0.00150,0.19601,0.00336,0.51736,7.00000e+08
0.340,0.00125,0.28214,0.00906,0.16277,1.00000e+10
0.199,0.00150,0.19902,0.00351,0.50997,7.76000e+08
0.202,0.00150,0.20202,0.00365,0.50259,8.59000e+08
0.205,0.00150,0.20501,0.00380,0.49520,9.49000e+08
0.343,0.00125,0.28228,0.00908,0.15538,1.00000e+10
0.208,0.00150,0.20802,0.00395,0.48781,1.04800e+09
0.211,0.00150,0.21101,0.00411,0.48042,1.15500e+09
0.214,0.00150,0.21401,0.00427,0.47304,1.27200e+09
0.217,0.00150,0.21702,0.00443,0.46565,1.40000e+09
0.346,0.00125,0.28242,0.00909,0.14799,1.00000e+10
0.220,0.00150,0.22001,0.00460,0.45826,1.53800e+09
0.223,0.00150,0.22302,0.00478,0.45087,1.68900e+09
0.226,0.00150,0.22601,0.00495,0.44349,1.85200e+09
0.349,0.00125,0.28255,0.00910,0.14061,1.00000e+10
0.229,0.00150,0.22901,0.00513,0.43610,2.03000e+09
0.232,0.00150,0.23200,0.00532,0.42871,2.22200e+09
0.235,0.00150,0.23501,0.00551,0.42133,2.43100e+09
0.238,0.00150,0.23800,0.00570,0.41394,2.65700e+09
0.352,0.00125,0.28266,0.00911,0.13322,1.00000e+10
0.241,0.00150,0.24101,0.00590,0.40655,2.90300e+09
0.244,0.00150,0.24400,0.00610,0.39916,3.16800e+09
0.355,0.00125,0.28278,0.00912,0.12583,1.00000e+10
0.247,0.00150,0.24700,0.00630,0.39178,3.45600e+09
0.250,0.00150,0.25000,0.00651,0.38439,3.76800e+09
0.358,0.00125,0.28288,0.00913,0.11844,1.00000e+10
0.253,0.00150,0.25301,0.00673,0.37700,4.10600e+09
0.256,0.00150,0.25600,0.00695,0.36961,4.47100e+09
0.361,0.00125,0.28297,0.00914,0.11106,1.00000e+10
0.259,0.00150,0.25900,0.00717,0.36223,4.86700e+09
0.364,0.00125,0.28306,0.00915,0.10367,1.00000e+10
0.367,0.00125,0.28314,0.00915,0.09628,1.00000e+10
0.370,0.00125,0.28322,0.00916,0.08889,1.00000e+10
0.262,0.00150,0.26200,0.00740,0.35484,5.29600e+09
0.373,0.00125,0.28329,0.00917,0.08151,1.00000e+10
0.265,0.00150,0.26501,0.00763,0.34745,5.76100e+09
0.376,0.00125,0.28335,0.00917,0.07412,1.00000e+10
0.379,0.00125,0.28341,0.00918,0.06673,1.00000e+10
0.382,0.00125,0.28346,0.00918,0.05935,1.00000e+10
0.268,0.00150,0.26800,0.00787,0.34006,6.26400e+09
0.271,0.00150,0.27100,0.00811,0.33268,6.81000e+09
0.274,0.00150,0.27400,0.00836,0.32529,7.40300e+09
0.277,0.00150,0.27700,0.00861,0.31790,8.04700e+09
0.280,0.00150,0.28000,0.00887,0.31052,8.74600e+09
0.283,0.00150,0.28300,0.00913,0.30313,9.50800e+09
0.286,0.00150,0.28497,0.00930,0.29574,1.00000e+10
0.289,0.00150,0.28537,0.00934,0.28835,1.00000e+10
0.292,0.00150,0.28574,0.00937,0.28097,1.00000e+10
0.295,0.00150,0.28610,0.00941,0.27358,1.00000e+10
0.298,0.00150,0.28643,0.00944,0.26619,1.00000e+10
0.301,0.00150,0.28675,0.00947,0.25880,1.00000e+10
0.304,0.00150,0.28706,0.00949,0.25142,1.00000e+10
0.307,0.00150,0.28734,0.00952,0.24403,1.00000e+10
0.310,0.00150,0.28762,0.00955,0.23664,1.00000e+10
0.160,0.00175,0.16003,0.00194,0.60601,1.54000e+08
0.163,0.00175,0.16314,0.00205,0.59862,1.75000e+08
0.313,0.00150,0.28788,0.00957,0.22925,1.00000e+10
0.166,0.00175,0.16607,0.00215,0.59123,1.97000e+08
0.316,0.00150,0.28812,0.00959,0.22187,1.00000e+10
0.169,0.00175,0.16907,0.00225,0.58385,2.22000e+08
0.172,0.00175,0.17201,0.00236,0.57646,2.49000e+08
0.319,0.00150,0.28836,0.00961,0.21448,1.00000e+10
0.175,0.00175,0.17507,0.00248,0.56907,2.80000e+08
0.322,0.00150,0.28858,0.00963,0.20709,1.00000e+10
0.178,0.00175,0.17801,0.00259,0.56168,3.13000e+08
0.325,0.00150,0.28878,0.00965,0.19970,1.00000e+10
0.328,0.00150,0.28898,0.00967,0.19232,1.00000e+10
0.181,0.00175,0.18102,0.00271,0.55430,3.50000e+08
0.331,0.00150,0.28917,0.00969,0.18493,1.00000e+10
0.184,0.00175,0.18404,0.00284,0.54691,3.91000e+08
0.187,0.00175,0.18706,0.00296,0.53952,4.36000e+08
0.334,0.00150,0.28934,0.00971,0.17754,1.00000e+10
0.190,0.00175,0.19005,0.00309,0.53214,4.85000e+08
0.193,0.00175,0.19301,0.00323,0.52475,5.38000e+08
0.196,0.00175,0.19602,0.00336,0.51736,5.97000e+08
