#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54786956e+03,1.00000000e-03,4.88795360e+00,0.00000000e+00,1.10156805e+04,3.27143003e+01,0.03104334
1.00000e+02,1.54586764e+03,1.00212821e-03,4.88795360e+00,0.00000000e+00,1.10141882e+04,3.27143003e+01,0.03107014
2.00000e+02,1.54387934e+03,1.00424950e-03,4.88795360e+00,0.00000000e+00,1.10127036e+04,3.27143003e+01,0.03109681
3.00000e+02,1.54190451e+03,1.00636390e-03,4.88795360e+00,0.00000000e+00,1.10112265e+04,3.27143003e+01,0.03112336
4.00000e+02,1.53994297e+03,1.00847150e-03,4.88795360e+00,0.00000000e+00,1.10097568e+04,3.27143003e+01,0.03114978
5.00000e+02,1.53799456e+03,1.01057234e-03,4.88795360e+00,0.00000000e+00,1.10082945e+04,3.27143003e+01,0.03117608
6.00000e+02,1.53605914e+03,1.01266648e-03,4.88795360e+00,0.00000000e+00,1.10068395e+04,3.27143003e+01,0.03120227
7.00000e+02,1.53413653e+03,1.01475398e-03,4.88795360e+00,0.00000000e+00,1.10053917e+04,3.27143003e+01,0.03122833
8.00000e+02,1.53222660e+03,1.01683489e-03,4.88795360e+00,0.00000000e+00,1.10039511e+04,3.27143003e+01,0.03125427
9.00000e+02,1.53032918e+03,1.01890928e-03,4.88795360e+00,0.00000000e+00,1.10025175e+04,3.27143003e+01,0.03128010
1.00000e+03,1.52844414e+03,1.02097719e-03,4.88795360e+00,0.00000000e+00,1.10010909e+04,3.27143003e+01,0.03130582
2.00000e+03,1.51024356e+03,1.04131158e-03,4.88795360e+00,0.00000000e+00,1.09871952e+04,3.27143003e+01,0.03155683
3.00000e+03,1.49313520e+03,1.06105323e-03,4.88795360e+00,0.00000000e+00,1.09739282e+04,3.27143003e+01,0.03179743
4.00000e+03,1.47700623e+03,1.08024616e-03,4.88795360e+00,0.00000000e+00,1.09612338e+04,3.27143003e+01,0.03202849
5.00000e+03,1.46175994e+03,1.09892931e-03,4.88795360e+00,0.00000000e+00,1.09490630e+04,3.27143003e+01,0.03225082
6.00000e+03,1.44731284e+03,1.11713730e-03,4.88795360e+00,0.00000000e+00,1.09373729e+04,3.27143003e+01,0.03246508
7.00000e+03,1.43359238e+03,1.13490110e-03,4.88795360e+00,0.00000000e+00,1.09261259e+04,3.27143003e+01,0.03267189
8.00000e+03,1.42053516e+03,1.15224853e-03,4.88795360e+00,0.00000000e+00,1.09152884e+04,3.27143003e+01,0.03287180
9.00000e+03,1.40808548e+03,1.16920467e-03,4.88795360e+00,0.00000000e+00,1.09048308e+04,3.27143003e+01,0.03306527
1.00000e+04,1.39619416e+03,1.18579225e-03,4.88795360e+00,0.00000000e+00,1.08947265e+04,3.27143003e+01,0.03325275
1.10000e+04,1.38481758e+03,1.20203191e-03,4.88795360e+00,0.00000000e+00,1.08849515e+04,3.27143003e+01,0.03343462
1.20000e+04,1.37391686e+03,1.21794249e-03,4.88795360e+00,0.00000000e+00,1.08754845e+04,3.27143003e+01,0.03361123
1.30000e+04,1.36345724e+03,1.23354121e-03,4.88795360e+00,0.00000000e+00,1.08663059e+04,3.27143003e+01,0.03378291
1.40000e+04,1.35340751e+03,1.24884389e-03,4.88795360e+00,0.00000000e+00,1.08573981e+04,3.27143003e+01,0.03394994
1.50000e+04,1.34373956e+03,1.26386508e-03,4.88795360e+00,0.00000000e+00,1.08487451e+04,3.27143003e+01,0.03411259
1.60000e+04,1.33442797e+03,1.27861819e-03,4.88795360e+00,0.00000000e+00,1.08403322e+04,3.27143003e+01,0.03427110
1.70000e+04,1.32544973e+03,1.29311563e-03,4.88795360e+00,0.00000000e+00,1.08321461e+04,3.27143003e+01,0.03442568
1.80000e+04,1.31678387e+03,1.30736891e-03,4.88795360e+00,0.00000000e+00,1.08241743e+04,3.27143003e+01,0.03457656
1.90000e+04,1.30841131e+03,1.32138870e-03,4.88795360e+00,0.00000000e+00,1.08164056e+04,3.27143003e+01,0.03472390
2.00000e+04,1.30031461e+03,1.33518496e-03,4.88795360e+00,0.00000000e+00,1.08088296e+04,3.27143003e+01,0.03486790
2.10000e+04,1.29247776e+03,1.34876695e-03,4.88795360e+00,0.00000000e+00,1.08014366e+04,3.27143003e+01,0.03500870
2.20000e+04,1.28488609e+03,1.36214333e-03,4.88795360e+00,0.00000000e+00,1.07942176e+04,3.27143003e+01,0.03514647
2.30000e+04,1.27752608e+03,1.37532223e-03,4.88795360e+00,0.00000000e+00,1.07871645e+04,3.27143003e+01,0.03528133
2.40000e+04,1.27038528e+03,1.38831123e-03,4.88795360e+00,0.00000000e+00,1.07802694e+04,3.27143003e+01,0.03541341
2.50000e+04,1.26345217e+03,1.40111748e-03,4.88795360e+00,0.00000000e+00,1.07735253e+04,3.27143003e+01,0.03554285
2.60000e+04,1.25671608e+03,1.41374768e-03,4.88795360e+00,0.00000000e+00,1.07669254e+04,3.27143003e+01,0.03566974
2.70000e+04,1.25016714e+03,1.42620815e-03,4.88795360e+00,0.00000000e+00,1.07604635e+04,3.27143003e+01,0.03579420
2.80000e+04,1.24379615e+03,1.43850485e-03,4.88795360e+00,0.00000000e+00,1.07541337e+04,3.27143003e+01,0.03591633
2.90000e+04,1.23759456e+03,1.45064341e-03,4.88795360e+00,0.00000000e+00,1.07479305e+04,3.27143003e+01,0.03603621
3.00000e+04,1.23155442e+03,1.46262914e-03,4.88795360e+00,0.00000000e+00,1.07418489e+04,3.27143003e+01,0.03615394
3.10000e+04,1.22566828e+03,1.47446709e-03,4.88795360e+00,0.00000000e+00,1.07358839e+04,3.27143003e+01,0.03626960
3.20000e+04,1.21992920e+03,1.48616200e-03,4.88795360e+00,0.00000000e+00,1.07300311e+04,3.27143003e+01,0.03638326
3.30000e+04,1.21433066e+03,1.49771842e-03,4.88795360e+00,0.00000000e+00,1.07242862e+04,3.27143003e+01,0.03649501
3.40000e+04,1.20886658e+03,1.50914064e-03,4.88795360e+00,0.00000000e+00,1.07186450e+04,3.27143003e+01,0.03660490
3.50000e+04,1.20353122e+03,1.52043273e-03,4.88795360e+00,0.00000000e+00,1.07131038e+04,3.27143003e+01,0.03671300
3.60000e+04,1.19831921e+03,1.53159859e-03,4.88795360e+00,0.00000000e+00,1.07076591e+04,3.27143003e+01,0.03681937
3.70000e+04,1.19322550e+03,1.54264191e-03,4.88795360e+00,0.00000000e+00,1.07023073e+04,3.27143003e+01,0.03692408
