#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54963098e+03,1.00000000e-03,4.88795361e+00,4.67968280e-02,1.10156805e+04,3.27143003e+01,0.03101982
1.00000e+02,1.54472069e+03,1.00522689e-03,4.88795361e+00,4.67968280e-02,1.10111831e+04,3.27143003e+01,0.03108552
2.00000e+02,1.53989205e+03,1.01041178e-03,4.88795361e+00,4.67968280e-02,1.10067419e+04,3.27143003e+01,0.03115047
3.00000e+02,1.53514265e+03,1.01555556e-03,4.88795361e+00,4.67968280e-02,1.10023554e+04,3.27143003e+01,0.03121468
4.00000e+02,1.53047017e+03,1.02065907e-03,4.88795361e+00,4.67968280e-02,1.09980222e+04,3.27143003e+01,0.03127818
5.00000e+02,1.52587240e+03,1.02572315e-03,4.88795361e+00,4.67968280e-02,1.09937411e+04,3.27143003e+01,0.03134098
6.00000e+02,1.52134720e+03,1.03074861e-03,4.88795361e+00,4.67968280e-02,1.09895107e+04,3.27143003e+01,0.03140310
7.00000e+02,1.51689253e+03,1.03573620e-03,4.88795361e+00,4.67968280e-02,1.09853299e+04,3.27143003e+01,0.03146455
8.00000e+02,1.51250644e+03,1.04068669e-03,4.88795361e+00,4.67968280e-02,1.09811973e+04,3.27143003e+01,0.03152535
9.00000e+02,1.50818704e+03,1.04560080e-03,4.88795361e+00,4.67968280e-02,1.09771120e+04,3.27143003e+01,0.03158551
1.00000e+03,1.50393253e+03,1.05047922e-03,4.88795361e+00,4.67968280e-02,1.09730728e+04,3.27143003e+01,0.03164505
2.00000e+03,1.46460409e+03,1.09744128e-03,4.88795361e+00,4.67968280e-02,1.09349982e+04,3.27143003e+01,0.03220905
3.00000e+03,1.43020372e+03,1.14147129e-03,4.88795361e+00,4.67968280e-02,1.09005595e+04,3.27143003e+01,0.03272348
4.00000e+03,1.39971826e+03,1.18301098e-03,4.88795361e+00,4.67968280e-02,1.08691039e+04,3.27143003e+01,0.03319691
5.00000e+03,1.37241048e+03,1.22240319e-03,4.88795361e+00,4.67968280e-02,1.08401414e+04,3.27143003e+01,0.03363582
6.00000e+03,1.34772837e+03,1.25992011e-03,4.88795361e+00,4.67968280e-02,1.08132948e+04,3.27143003e+01,0.03404525
7.00000e+03,1.32524862e+03,1.29578197e-03,4.88795361e+00,4.67968280e-02,1.07882668e+04,3.27143003e+01,0.03442917
8.00000e+03,1.30464000e+03,1.33016983e-03,4.88795361e+00,4.67968280e-02,1.07648197e+04,3.27143003e+01,0.03479079
9.00000e+03,1.28563879e+03,1.36323463e-03,4.88795361e+00,4.67968280e-02,1.07427595e+04,3.27143003e+01,0.03513275
1.00000e+04,1.26803185e+03,1.39510369e-03,4.88795361e+00,4.67968280e-02,1.07219265e+04,3.27143003e+01,0.03545722
1.10000e+04,1.25164463e+03,1.42588555e-03,4.88795361e+00,4.67968280e-02,1.07021872e+04,3.27143003e+01,0.03576603
1.20000e+04,1.23633250e+03,1.45567361e-03,4.88795361e+00,4.67968280e-02,1.06834289e+04,3.27143003e+01,0.03606073
1.30000e+04,1.22197441e+03,1.48454888e-03,4.88795361e+00,4.67968280e-02,1.06655559e+04,3.27143003e+01,0.03634266
1.40000e+04,1.20846804e+03,1.51258217e-03,4.88795361e+00,4.67968280e-02,1.06484855e+04,3.27143003e+01,0.03661294
1.50000e+04,1.19572626e+03,1.53983578e-03,4.88795361e+00,4.67968280e-02,1.06321468e+04,3.27143003e+01,0.03687258
1.60000e+04,1.18367425e+03,1.56636483e-03,4.88795361e+00,4.67968280e-02,1.06164774e+04,3.27143003e+01,0.03712245
1.70000e+04,1.17224732e+03,1.59221840e-03,4.88795361e+00,4.67968280e-02,1.06014230e+04,3.27143003e+01,0.03736330
1.80000e+04,1.16138923e+03,1.61744039e-03,4.88795361e+00,4.67968280e-02,1.05869356e+04,3.27143003e+01,0.03759582
1.90000e+04,1.15105077e+03,1.64207021e-03,4.88795361e+00,4.67968280e-02,1.05729727e+04,3.27143003e+01,0.03782060
2.00000e+04,1.14118864e+03,1.66614347e-03,4.88795361e+00,4.67968280e-02,1.05594964e+04,3.27143003e+01,0.03803819
2.10000e+04,1.13176460e+03,1.68969240e-03,4.88795361e+00,4.67968280e-02,1.05464729e+04,3.27143003e+01,0.03824905
2.20000e+04,1.12274466e+03,1.71274630e-03,4.88795361e+00,4.67968280e-02,1.05338717e+04,3.27143003e+01,0.03845364
2.30000e+04,1.11409856e+03,1.73533192e-03,4.88795361e+00,4.67968280e-02,1.05216654e+04,3.27143003e+01,0.03865233
2.40000e+04,1.10579919e+03,1.75747372e-03,4.88795361e+00,4.67968280e-02,1.05098291e+04,3.27143003e+01,0.03884549
2.50000e+04,1.09782218e+03,1.77919416e-03,4.88795361e+00,4.67968280e-02,1.04983405e+04,3.27143003e+01,0.03903343
2.60000e+04,1.09014559e+03,1.80051391e-03,4.88795361e+00,4.67968280e-02,1.04871790e+04,3.27143003e+01,0.03921646
2.70000e+04,1.08274956e+03,1.82145203e-03,4.88795361e+00,4.67968280e-02,1.04763258e+04,3.27143003e+01,0.03939485
2.80000e+04,1.07561607e+03,1.84202616e-03,4.88795361e+00,4.67968280e-02,1.04657638e+04,3.27143003e+01,0.03956883
2.90000e+04,1.06872876e+03,1.86225266e-03,4.88795361e+00,4.67968280e-02,1.04554773e+04,3.27143003e+01,0.03973865
