#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54172719e+03,1.00000000e-03,4.88795354e+00,0.00000000e+00,1.10156805e+04,3.27143003e+01,0.03112574
1.00000e+02,1.54132863e+03,1.00042502e-03,4.88795354e+00,0.00000000e+00,1.10156206e+04,3.27143003e+01,0.03113111
2.00000e+02,1.54093059e+03,1.00084977e-03,4.88795354e+00,0.00000000e+00,1.10155608e+04,3.27143003e+01,0.03113647
3.00000e+02,1.54053310e+03,1.00127426e-03,4.88795354e+00,0.00000000e+00,1.10155011e+04,3.27143003e+01,0.03114182
4.00000e+02,1.54013613e+03,1.00169848e-03,4.88795354e+00,0.00000000e+00,1.10154414e+04,3.27143003e+01,0.03114718
5.00000e+02,1.53973969e+03,1.00212244e-03,4.88795354e+00,0.00000000e+00,1.10153818e+04,3.27143003e+01,0.03115252
6.00000e+02,1.53934379e+03,1.00254613e-03,4.88795354e+00,0.00000000e+00,1.10153223e+04,3.27143003e+01,0.03115786
7.00000e+02,1.53894841e+03,1.00296957e-03,4.88795354e+00,0.00000000e+00,1.10152628e+04,3.27143003e+01,0.03116320
8.00000e+02,1.53855356e+03,1.00339273e-03,4.88795354e+00,0.00000000e+00,1.10152033e+04,3.27143003e+01,0.03116853
9.00000e+02,1.53815924e+03,1.00381564e-03,4.88795354e+00,0.00000000e+00,1.10151439e+04,3.27143003e+01,0.03117386
1.00000e+03,1.53776544e+03,1.00423828e-03,4.88795354e+00,0.00000000e+00,1.10150846e+04,3.27143003e+01,0.03117918
2.00000e+03,1.53385601e+03,1.00845039e-03,4.88795354e+00,0.00000000e+00,1.10144946e+04,3.27143003e+01,0.03123214
3.00000e+03,1.52999767e+03,1.01263676e-03,4.88795354e+00,0.00000000e+00,1.10139104e+04,3.27143003e+01,0.03128462
4.00000e+03,1.52618925e+03,1.01679781e-03,4.88795354e+00,0.00000000e+00,1.10133317e+04,3.27143003e+01,0.03133664
5.00000e+03,1.52242958e+03,1.02093395e-03,4.88795354e+00,0.00000000e+00,1.10127586e+04,3.27143003e+01,0.03138821
6.00000e+03,1.51871756e+03,1.02504558e-03,4.88795354e+00,0.00000000e+00,1.10121909e+04,3.27143003e+01,0.03143934
7.00000e+03,1.51505210e+03,1.02913309e-03,4.88795354e+00,0.00000000e+00,1.10116285e+04,3.27143003e+01,0.03149003
8.00000e+03,1.51143217e+03,1.03319686e-03,4.88795354e+00,0.00000000e+00,1.10110713e+04,3.27143003e+01,0.03154029
9.00000e+03,1.50785676e+03,1.03723725e-03,4.88795354e+00,0.00000000e+00,1.10105192e+04,3.27143003e+01,0.03159013
1.00000e+04,1.50432489e+03,1.04125464e-03,4.88795354e+00,0.00000000e+00,1.10099721e+04,3.27143003e+01,0.03163955
1.10000e+04,1.50083562e+03,1.04524936e-03,4.88795354e+00,0.00000000e+00,1.10094299e+04,3.27143003e+01,0.03168857
1.20000e+04,1.49738802e+03,1.04922177e-03,4.88795354e+00,0.00000000e+00,1.10088926e+04,3.27143003e+01,0.03173719
1.30000e+04,1.49398122e+03,1.05317219e-03,4.88795354e+00,0.00000000e+00,1.10083599e+04,3.27143003e+01,0.03178542
1.40000e+04,1.49061435e+03,1.05710095e-03,4.88795354e+00,0.00000000e+00,1.10078320e+04,3.27143003e+01,0.03183327
1.50000e+04,1.48728657e+03,1.06100838e-03,4.88795354e+00,0.00000000e+00,1.10073086e+04,3.27143003e+01,0.03188073
1.60000e+04,1.48399708e+03,1.06489478e-03,4.88795354e+00,0.00000000e+00,1.10067896e+04,3.27143003e+01,0.03192783
1.70000e+04,1.48074509e+03,1.06876045e-03,4.88795354e+00,0.00000000e+00,1.10062751e+04,3.27143003e+01,0.03197456
1.80000e+04,1.47752983e+03,1.07260569e-03,4.88795354e+00,0.00000000e+00,1.10057649e+04,3.27143003e+01,0.03202093
1.90000e+04,1.47435058e+03,1.07643079e-03,4.88795354e+00,0.00000000e+00,1.10052590e+04,3.27143003e+01,0.03206694
2.00000e+04,1.47120659e+03,1.08023604e-03,4.88795354e+00,0.00000000e+00,1.10047572e+04,3.27143003e+01,0.03211261
2.10000e+04,1.46809719e+03,1.08402171e-03,4.88795354e+00,0.00000000e+00,1.10042596e+04,3.27143003e+01,0.03215794
2.20000e+04,1.46502168e+03,1.08778807e-03,4.88795354e+00,0.00000000e+00,1.10037660e+04,3.27143003e+01,0.03220293
2.30000e+04,1.46197941e+03,1.09153538e-03,4.88795354e+00,0.00000000e+00,1.10032764e+04,3.27143003e+01,0.03224759
2.40000e+04,1.45896974e+03,1.09526391e-03,4.88795354e+00,0.00000000e+00,1.10027907e+04,3.27143003e+01,0.03229192
2.50000e+04,1.45599204e+03,1.09897390e-03,4.88795354e+00,0.00000000e+00,1.10023088e+04,3.27143003e+01,0.03233593
2.60000e+04,1.45304570e+03,1.10266561e-03,4.88795354e+00,0.00000000e+00,1.10018307e+04,3.27143003e+01,0.03237963
