#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54963098e+03,1.00000000e-03,4.88795361e+00,4.67968280e-02,1.10156805e+04,3.27143003e+01,0.03101982
1.00000e+02,1.53514265e+03,1.01555556e-03,4.88795361e+00,4.67968280e-02,1.10023554e+04,3.27143003e+01,0.03121468
2.00000e+02,1.52134720e+03,1.03074861e-03,4.88795361e+00,4.67968280e-02,1.09895107e+04,3.27143003e+01,0.03140310
3.00000e+02,1.50818704e+03,1.04560080e-03,4.88795361e+00,4.67968280e-02,1.09771120e+04,3.27143003e+01,0.03158551
4.00000e+02,1.49561126e+03,1.06013174e-03,4.88795361e+00,4.67968280e-02,1.09651283e+04,3.27143003e+01,0.03176232
5.00000e+02,1.48357463e+03,1.07435929e-03,4.88795361e+00,4.67968280e-02,1.09535319e+04,3.27143003e+01,0.03193389
6.00000e+02,1.47203683e+03,1.08829974e-03,4.88795361e+00,4.67968280e-02,1.09422977e+04,3.27143003e+01,0.03210054
7.00000e+02,1.46096173e+03,1.10196800e-03,4.88795361e+00,4.67968280e-02,1.09314031e+04,3.27143003e+01,0.03226256
8.00000e+02,1.45031689e+03,1.11537776e-03,4.88795361e+00,4.67968280e-02,1.09208274e+04,3.27143003e+01,0.03242023
9.00000e+02,1.44007304e+03,1.12854165e-03,4.88795361e+00,4.67968280e-02,1.09105519e+04,3.27143003e+01,0.03257380
1.00000e+03,1.43020372e+03,1.14147129e-03,4.88795361e+00,4.67968280e-02,1.09005595e+04,3.27143003e+01,0.03272348
2.00000e+03,1.34772837e+03,1.25992011e-03,4.88795361e+00,4.67968280e-02,1.08132948e+04,3.27143003e+01,0.03404525
3.00000e+03,1.28563879e+03,1.36323463e-03,4.88795361e+00,4.67968280e-02,1.07427595e+04,3.27143003e+01,0.03513275
4.00000e+03,1.23633250e+03,1.45567361e-03,4.88795361e+00,4.67968280e-02,1.06834289e+04,3.27143003e+01,0.03606073
5.00000e+03,1.19572626e+03,1.53983578e-03,4.88795361e+00,4.67968280e-02,1.06321468e+04,3.27143003e+01,0.03687258
6.00000e+03,1.16138923e+03,1.61744039e-03,4.88795361e+00,4.67968280e-02,1.05869356e+04,3.27143003e+01,0.03759582
7.00000e+03,1.13176460e+03,1.68969240e-03,4.88795361e+00,4.67968280e-02,1.05464729e+04,3.27143003e+01,0.03824905
8.00000e+03,1.10579919e+03,1.75747372e-03,4.88795361e+00,4.67968280e-02,1.05098291e+04,3.27143003e+01,0.03884549
9.00000e+03,1.08274956e+03,1.82145203e-03,4.88795361e+00,4.67968280e-02,1.04763258e+04,3.27143003e+01,0.03939485
1.00000e+04,1.06207266e+03,1.88214671e-03,4.88795361e+00,4.67968280e-02,1.04454518e+04,3.27143003e+01,0.03990451
1.10000e+04,1.04336055e+03,1.93997090e-03,4.88795361e+00,4.67968280e-02,1.04168128e+04,3.27143003e+01,0.04038020
1.20000e+04,1.02629956e+03,1.99525941e-03,4.88795361e+00,4.67968280e-02,1.03900974e+04,3.27143003e+01,0.04082648
1.30000e+04,1.01064365e+03,2.04828786e-03,4.88795361e+00,4.67968280e-02,1.03650560e+04,3.27143003e+01,0.04124703
1.40000e+04,9.96196521e+02,2.09928632e-03,4.88795361e+00,4.67968280e-02,1.03414848e+04,3.27143003e+01,0.04164486
1.50000e+04,9.82799229e+02,2.14844903e-03,4.88795361e+00,4.67968280e-02,1.03192155e+04,3.27143003e+01,0.04202247
1.60000e+04,9.70321397e+02,2.19594176e-03,4.88795361e+00,4.67968280e-02,1.02981075e+04,3.27143003e+01,0.04238196
1.70000e+04,9.58654843e+02,2.24190724e-03,4.88795361e+00,4.67968280e-02,1.02780419e+04,3.27143003e+01,0.04272511
1.80000e+04,9.47708886e+02,2.28646939e-03,4.88795361e+00,4.67968280e-02,1.02589173e+04,3.27143003e+01,0.04305347
1.90000e+04,9.37406815e+02,2.32973658e-03,4.88795361e+00,4.67968280e-02,1.02406468e+04,3.27143003e+01,0.04336833
2.00000e+04,9.27683199e+02,2.37180420e-03,4.88795361e+00,4.67968280e-02,1.02231549e+04,3.27143003e+01,0.04367085
2.10000e+04,9.18481812e+02,2.41275673e-03,4.88795361e+00,4.67968280e-02,1.02063758e+04,3.27143003e+01,0.04396203
2.20000e+04,9.09754006e+02,2.45266940e-03,4.88795361e+00,4.67968280e-02,1.01902520e+04,3.27143003e+01,0.04424275
2.30000e+04,9.01457430e+02,2.49160951e-03,4.88795361e+00,4.67968280e-02,1.01747324e+04,3.27143003e+01,0.04451379
2.40000e+04,8.93555003e+02,2.52963757e-03,4.88795361e+00,4.67968280e-02,1.01597720e+04,3.27143003e+01,0.04477585
2.50000e+04,8.86014088e+02,2.56680821e-03,4.88795361e+00,4.67968280e-02,1.01453306e+04,3.27143003e+01,0.04502956
2.60000e+04,8.78805818e+02,2.60317091e-03,4.88795361e+00,4.67968280e-02,1.01313722e+04,3.27143003e+01,0.04527545
2.70000e+04,8.71904550e+02,2.63877070e-03,4.88795361e+00,4.67968280e-02,1.01178645e+04,3.27143003e+01,0.04551405
2.80000e+04,8.65287403e+02,2.67364866e-03,4.88795361e+00,4.67968280e-02,1.01047784e+04,3.27143003e+01,0.04574579
2.90000e+04,8.58933887e+02,2.70784239e-03,4.88795361e+00,4.67968280e-02,1.00920875e+04,3.27143003e+01,0.04597110
3.00000e+04,8.52825581e+02,2.74138640e-03,4.88795361e+00,4.67968280e-02,1.00797678e+04,3.27143003e+01,0.04619035
3.10000e+04,8.46945874e+02,2.77431248e-03,4.88795361e+00,4.67968280e-02,1.00677975e+04,3.27143003e+01,0.04640388
3.20000e+04,8.41279733e+02,2.80664996e-03,4.88795361e+00,4.67968280e-02,1.00561568e+04,3.27143003e+01,0.04661201
3.30000e+04,8.35813516e+02,2.83842596e-03,4.88795361e+00,4.67968280e-02,1.00448273e+04,3.27143003e+01,0.04681501
