#nR_H,a_s,e_s,MA_s,tcol
0.250,0.02016585,0.12,173.45160,1000000.00000
0.250,0.02016585,0.38,44.72805,1000000.00000
0.250,0.02016585,0.08,124.36879,1000000.00000
0.250,0.02016585,0.46,46.41978,1000000.00000
0.250,0.02016585,0.06,75.13398,1000000.00000
0.250,0.02016585,0.60,49.25280,681135.16412
0.250,0.02016585,0.50,33.32393,1000000.00000
0.250,0.02016585,0.58,113.72643,1000000.00000
0.250,0.02016585,0.09,95.33710,1000000.00000
0.250,0.02016585,0.46,161.01940,1000000.00000
0.250,0.02016585,0.08,31.38596,1000000.00000
0.250,0.02016585,0.08,114.03535,1000000.00000
0.250,0.02016585,0.48,70.07321,1000000.00000
0.250,0.02016585,0.54,110.41405,1000000.00000
0.250,0.02016585,0.19,31.93912,1000000.00000
0.250,0.02016585,0.28,63.10576,1000000.00000
0.250,0.02016585,0.54,141.54210,1000000.00000
0.250,0.02016585,0.41,132.75023,1000000.00000
0.250,0.02016585,0.26,138.41773,1000000.00000
0.250,0.02016585,0.29,32.73842,1000000.00000
0.250,0.02016585,0.30,82.94018,1000000.00000
0.250,0.02016585,0.01,54.83048,1000000.00000
0.250,0.02016585,0.38,22.94796,1000000.00000
0.250,0.02016585,0.32,102.74009,1000000.00000
0.250,0.02016585,0.48,89.34592,1000000.00000
0.250,0.02016585,0.30,31.86189,1000000.00000
0.250,0.02016585,0.45,61.52712,1000000.00000
0.250,0.02016585,0.39,3.25983,1000000.00000
0.250,0.02016585,0.57,135.48899,404555.89802
0.250,0.02016585,0.08,121.96158,1000000.00000
0.250,0.02016585,0.48,108.56738,801085.04727
0.250,0.02016585,0.43,28.10747,1000000.00000
0.250,0.02016585,0.54,33.55889,1000000.00000
0.250,0.02016585,0.60,81.24966,8050.69127
0.250,0.02016585,0.33,44.27239,1000000.00000
0.250,0.02016585,0.24,112.96045,1000000.00000
0.250,0.02016585,0.42,101.67140,1000000.00000
0.250,0.02016585,0.02,161.06892,1000000.00000
0.250,0.02016585,0.13,92.04163,1000000.00000
0.250,0.02016585,0.22,84.35892,1000000.00000
0.250,0.02016585,0.03,69.96191,1000000.00000
0.250,0.02016585,0.04,21.52696,1000000.00000
0.250,0.02016585,0.11,31.87992,1000000.00000
0.250,0.02016585,0.06,41.02833,1000000.00000
0.250,0.02016585,0.49,24.62735,1000000.00000
0.250,0.02016585,0.59,174.39801,203242.24118
0.250,0.02016585,0.47,31.56683,1000000.00000
0.250,0.02016585,0.45,48.25145,1000000.00000
0.250,0.02016585,0.49,147.43842,1000000.00000
0.250,0.02016585,0.59,175.22801,263030.14394
0.250,0.02016585,0.53,75.19802,1000000.00000
0.250,0.02016585,0.44,149.43958,1000000.00000
0.250,0.02016585,0.34,100.21732,1000000.00000
0.250,0.02016585,0.47,37.15583,1000000.00000
0.250,0.02016585,0.52,138.09389,936949.80268
0.250,0.02016585,0.02,46.58040,1000000.00000
0.250,0.02016585,0.56,155.18297,403495.10743
0.250,0.02016585,0.39,72.15326,1000000.00000
0.250,0.02016585,0.23,94.98620,1000000.00000
0.250,0.02016585,0.42,37.78301,1000000.00000
0.250,0.02016585,0.40,168.18606,1000000.00000
0.250,0.02016585,0.12,168.50786,1000000.00000
0.250,0.02016585,0.21,18.20208,1000000.00000
0.250,0.02016585,0.01,11.70929,1000000.00000
0.250,0.02016585,0.47,157.30021,1000000.00000
0.250,0.02016585,0.31,95.78043,1000000.00000
0.250,0.02016585,0.10,28.94545,1000000.00000
0.250,0.02016585,0.21,13.09734,1000000.00000
0.250,0.02016585,0.27,20.44037,1000000.00000
0.250,0.02016585,0.33,73.87143,1000000.00000
0.250,0.02016585,0.29,85.31310,1000000.00000
0.250,0.02016585,0.60,138.67334,300816.18461
0.250,0.02016585,0.02,163.67767,1000000.00000
0.250,0.02016585,0.26,68.56035,1000000.00000
0.250,0.02016585,0.24,175.39106,1000000.00000
0.250,0.02016585,0.02,119.25401,1000000.00000
0.250,0.02016585,0.44,43.77099,1000000.00000
0.250,0.02016585,0.13,145.82041,1000000.00000
0.250,0.02016585,0.42,179.43736,1000000.00000
0.250,0.02016585,0.14,112.12029,1000000.00000
0.250,0.02016585,0.00,107.75853,1000000.00000
0.250,0.02016585,0.11,88.65318,1000000.00000
0.250,0.02016585,0.38,130.00546,1000000.00000
0.250,0.02016585,0.14,94.00379,1000000.00000
0.250,0.02016585,0.09,20.42523,1000000.00000
0.250,0.02016585,0.17,115.63547,1000000.00000
0.250,0.02016585,0.38,143.51317,1000000.00000
0.250,0.02016585,0.37,96.02300,1000000.00000
0.250,0.02016585,0.20,162.45952,1000000.00000
0.250,0.02016585,0.52,112.95098,224306.59131
0.250,0.02016585,0.07,120.98440,1000000.00000
0.250,0.02016585,0.19,77.21892,1000000.00000
0.250,0.02016585,0.09,130.67202,1000000.00000
0.250,0.02016585,0.04,114.76035,1000000.00000
0.250,0.02016585,0.23,21.15472,1000000.00000
0.250,0.02016585,0.24,162.20844,1000000.00000
0.250,0.02016585,0.49,19.18769,1000000.00000
0.250,0.02016585,0.38,133.91033,1000000.00000
0.250,0.02016585,0.31,67.91115,1000000.00000
0.250,0.02016585,0.44,52.76659,1000000.00000
0.250,0.02016585,0.03,139.00406,1000000.00000
0.250,0.02016585,0.42,74.63234,1000000.00000
0.250,0.02016585,0.06,39.97941,1000000.00000
0.250,0.02016585,0.59,156.87662,809055.06042
0.250,0.02016585,0.28,26.47323,1000000.00000
0.250,0.02016585,0.03,144.39546,1000000.00000
0.250,0.02016585,0.15,28.15867,1000000.00000
0.250,0.02016585,0.23,40.24725,1000000.00000
0.250,0.02016585,0.04,76.95738,1000000.00000
0.250,0.02016585,0.23,174.47446,1000000.00000
0.250,0.02016585,0.20,171.01115,1000000.00000
0.250,0.02016585,0.11,160.56838,1000000.00000
0.250,0.02016585,0.09,147.10000,1000000.00000
0.250,0.02016585,0.28,88.58093,1000000.00000
0.250,0.02016585,0.34,109.91161,1000000.00000
0.250,0.02016585,0.33,161.41778,1000000.00000
0.250,0.02016585,0.08,106.36073,1000000.00000
0.250,0.02016585,0.16,44.59158,1000000.00000
0.250,0.02016585,0.25,163.96689,1000000.00000
0.250,0.02016585,0.18,18.14004,1000000.00000
0.250,0.02016585,0.14,138.59884,1000000.00000
0.250,0.02016585,0.25,123.25161,1000000.00000
0.250,0.02016585,0.25,155.89150,1000000.00000
0.250,0.02016585,0.60,3.98224,53475.81237
0.250,0.02016585,0.42,11.82756,1000000.00000
0.250,0.02016585,0.06,93.38231,1000000.00000
0.250,0.02016585,0.40,166.60233,1000000.00000
0.250,0.02016585,0.42,15.36294,1000000.00000
0.250,0.02016585,0.55,10.41168,1000000.00000
0.250,0.02016585,0.29,31.01758,1000000.00000
0.250,0.02016585,0.32,116.26510,1000000.00000
0.250,0.02016585,0.08,168.61140,1000000.00000
0.250,0.02016585,0.40,103.73190,1000000.00000
0.250,0.02016585,0.47,75.37869,1000000.00000
0.250,0.02016585,0.34,76.57856,1000000.00000
0.250,0.02016585,0.23,174.57819,1000000.00000
0.250,0.02016585,0.42,84.97205,1000000.00000
0.250,0.02016585,0.53,170.99301,1000000.00000
0.250,0.02016585,0.02,56.10799,1000000.00000
0.250,0.02016585,0.26,10.14759,1000000.00000
0.250,0.02016585,0.31,87.21414,1000000.00000
0.250,0.02016585,0.18,152.07756,1000000.00000
0.250,0.02016585,0.35,178.19284,1000000.00000
0.250,0.02016585,0.55,104.41552,1000000.00000
0.250,0.02016585,0.00,33.01281,1000000.00000
0.250,0.02016585,0.05,56.58408,1000000.00000
0.250,0.02016585,0.43,32.74706,1000000.00000
0.250,0.02016585,0.20,113.73070,1000000.00000
0.250,0.02016585,0.48,53.48191,1000000.00000
0.250,0.02016585,0.08,113.81505,1000000.00000
0.250,0.02016585,0.28,141.05754,1000000.00000
0.250,0.02016585,0.16,118.83553,1000000.00000
0.250,0.02016585,0.14,160.20096,1000000.00000
0.250,0.02016585,0.34,51.95350,1000000.00000
0.250,0.02016585,0.14,67.60493,1000000.00000
0.250,0.02016585,0.36,64.58949,1000000.00000
0.250,0.02016585,0.43,72.13735,1000000.00000
0.250,0.02016585,0.53,122.33651,770710.48638
0.250,0.02016585,0.30,113.02207,1000000.00000
0.250,0.02016585,0.30,10.99403,1000000.00000
0.250,0.02016585,0.22,139.88645,1000000.00000
0.250,0.02016585,0.55,71.32356,1000000.00000
0.250,0.02016585,0.14,104.09042,1000000.00000
0.250,0.02016585,0.38,102.58014,1000000.00000
0.250,0.02016585,0.58,176.61351,1000000.00000
0.250,0.02016585,0.46,87.73762,1000000.00000
0.250,0.02016585,0.48,47.20753,1000000.00000
0.250,0.02016585,0.35,60.58877,1000000.00000
0.250,0.02016585,0.27,111.26308,1000000.00000
0.250,0.02016585,0.28,78.74549,1000000.00000
0.250,0.02016585,0.58,1.14946,1000000.00000
0.250,0.02016585,0.23,94.15761,1000000.00000
0.250,0.02016585,0.58,149.78415,1000000.00000
0.250,0.02016585,0.48,64.02109,1000000.00000
0.250,0.02016585,0.20,90.94543,1000000.00000
0.250,0.02016585,0.52,41.93270,517651.60153
0.250,0.02016585,0.58,97.42798,8705.73971
0.250,0.02016585,0.25,145.89960,1000000.00000
0.250,0.02016585,0.53,177.79003,1000000.00000
0.250,0.02016585,0.33,109.03947,1000000.00000
