#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54963098e+03,1.00000000e-03,1.04180437e+01,2.68486549e-02,1.10156805e+04,6.97263033e+01,0.05137422
1.00000e+02,1.54472069e+03,1.00522689e-03,1.04180437e+01,2.68486549e-02,1.10111830e+04,6.97263033e+01,0.05148303
2.00000e+02,1.53989205e+03,1.01041178e-03,1.04180437e+01,2.68486549e-02,1.10067417e+04,6.97263033e+01,0.05159060
3.00000e+02,1.53514265e+03,1.01555556e-03,1.04180437e+01,2.68486549e-02,1.10023552e+04,6.97263033e+01,0.05169695
4.00000e+02,1.53047017e+03,1.02065907e-03,1.04180437e+01,2.68486549e-02,1.09980219e+04,6.97263033e+01,0.05180212
5.00000e+02,1.52587240e+03,1.02572315e-03,1.04180437e+01,2.68486549e-02,1.09937407e+04,6.97263033e+01,0.05190612
6.00000e+02,1.52134720e+03,1.03074861e-03,1.04180437e+01,2.68486549e-02,1.09895103e+04,6.97263033e+01,0.05200900
7.00000e+02,1.51689253e+03,1.03573620e-03,1.04180437e+01,2.68486549e-02,1.09853294e+04,6.97263033e+01,0.05211078
8.00000e+02,1.51250644e+03,1.04068669e-03,1.04180437e+01,2.68486549e-02,1.09811968e+04,6.97263033e+01,0.05221147
9.00000e+02,1.50818704e+03,1.04560079e-03,1.04180437e+01,2.68486549e-02,1.09771114e+04,6.97263033e+01,0.05231111
1.00000e+03,1.50393253e+03,1.05047922e-03,1.04180437e+01,2.68486549e-02,1.09730721e+04,6.97263033e+01,0.05240972
2.00000e+03,1.46460409e+03,1.09744128e-03,1.04180437e+01,2.68486549e-02,1.09349968e+04,6.97263033e+01,0.05334380
3.00000e+03,1.43020373e+03,1.14147128e-03,1.04180437e+01,2.68486549e-02,1.09005574e+04,6.97263033e+01,0.05419578
4.00000e+03,1.39971828e+03,1.18301095e-03,1.04180437e+01,2.68486549e-02,1.08691012e+04,6.97263033e+01,0.05497986
5.00000e+03,1.37241050e+03,1.22240315e-03,1.04180437e+01,2.68486549e-02,1.08401381e+04,6.97263033e+01,0.05570678
6.00000e+03,1.34772840e+03,1.25992006e-03,1.04180437e+01,2.68486549e-02,1.08132907e+04,6.97263033e+01,0.05638486
7.00000e+03,1.32524866e+03,1.29578190e-03,1.04180437e+01,2.68486549e-02,1.07882621e+04,6.97263033e+01,0.05702069
8.00000e+03,1.30464005e+03,1.33016974e-03,1.04180437e+01,2.68486549e-02,1.07648143e+04,6.97263033e+01,0.05761961
9.00000e+03,1.28563885e+03,1.36323452e-03,1.04180437e+01,2.68486549e-02,1.07427535e+04,6.97263033e+01,0.05818595
1.00000e+04,1.26803192e+03,1.39510356e-03,1.04180437e+01,2.68486549e-02,1.07219198e+04,6.97263033e+01,0.05872332
1.10000e+04,1.25164470e+03,1.42588541e-03,1.04180437e+01,2.68486549e-02,1.07021798e+04,6.97263033e+01,0.05923477
1.20000e+04,1.23633258e+03,1.45567344e-03,1.04180437e+01,2.68486549e-02,1.06834209e+04,6.97263033e+01,0.05972285
1.30000e+04,1.22197449e+03,1.48454869e-03,1.04180437e+01,2.68486549e-02,1.06655472e+04,6.97263033e+01,0.06018977
1.40000e+04,1.20846814e+03,1.51258195e-03,1.04180437e+01,2.68486549e-02,1.06484762e+04,6.97263033e+01,0.06063741
1.50000e+04,1.19572636e+03,1.53983553e-03,1.04180437e+01,2.68486549e-02,1.06321368e+04,6.97263033e+01,0.06106742
1.60000e+04,1.18367435e+03,1.56636456e-03,1.04180437e+01,2.68486549e-02,1.06164668e+04,6.97263033e+01,0.06148124
1.70000e+04,1.17224744e+03,1.59221811e-03,1.04180437e+01,2.68486549e-02,1.06014117e+04,6.97263033e+01,0.06188013
1.80000e+04,1.16138936e+03,1.61744006e-03,1.04180437e+01,2.68486549e-02,1.05869237e+04,6.97263033e+01,0.06226522
1.90000e+04,1.15105090e+03,1.64206986e-03,1.04180437e+01,2.68486549e-02,1.05729602e+04,6.97263033e+01,0.06263750
2.00000e+04,1.14118878e+03,1.66614309e-03,1.04180437e+01,2.68486549e-02,1.05594832e+04,6.97263033e+01,0.06299785
