#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54095768e+03,1.00000000e-03,1.04180436e+01,0.00000000e+00,1.10156805e+04,6.97263033e+01,0.05156681
1.00000e+02,1.54075851e+03,1.00021247e-03,1.04180436e+01,0.00000000e+00,1.10156655e+04,6.97263033e+01,0.05157125
2.00000e+02,1.54055947e+03,1.00042487e-03,1.04180436e+01,0.00000000e+00,1.10156505e+04,6.97263033e+01,0.05157570
3.00000e+02,1.54036057e+03,1.00063721e-03,1.04180436e+01,0.00000000e+00,1.10156355e+04,6.97263033e+01,0.05158014
4.00000e+02,1.54016181e+03,1.00084948e-03,1.04180436e+01,0.00000000e+00,1.10156205e+04,6.97263033e+01,0.05158457
5.00000e+02,1.53996317e+03,1.00106168e-03,1.04180436e+01,0.00000000e+00,1.10156055e+04,6.97263033e+01,0.05158901
6.00000e+02,1.53976467e+03,1.00127382e-03,1.04180436e+01,0.00000000e+00,1.10155906e+04,6.97263033e+01,0.05159344
7.00000e+02,1.53956630e+03,1.00148589e-03,1.04180436e+01,0.00000000e+00,1.10155756e+04,6.97263033e+01,0.05159788
8.00000e+02,1.53936806e+03,1.00169790e-03,1.04180436e+01,0.00000000e+00,1.10155607e+04,6.97263033e+01,0.05160231
9.00000e+02,1.53916995e+03,1.00190984e-03,1.04180436e+01,0.00000000e+00,1.10155457e+04,6.97263033e+01,0.05160673
1.00000e+03,1.53897198e+03,1.00212172e-03,1.04180436e+01,0.00000000e+00,1.10155308e+04,6.97263033e+01,0.05161116
2.00000e+03,1.53699948e+03,1.00423687e-03,1.04180436e+01,0.00000000e+00,1.10153818e+04,6.97263033e+01,0.05165531
3.00000e+03,1.53504001e+03,1.00634553e-03,1.04180436e+01,0.00000000e+00,1.10152336e+04,6.97263033e+01,0.05169925
4.00000e+03,1.53309342e+03,1.00844774e-03,1.04180436e+01,0.00000000e+00,1.10150860e+04,6.97263033e+01,0.05174301
5.00000e+03,1.53115956e+03,1.01054355e-03,1.04180436e+01,0.00000000e+00,1.10149392e+04,6.97263033e+01,0.05178657
6.00000e+03,1.52923828e+03,1.01263302e-03,1.04180436e+01,0.00000000e+00,1.10147931e+04,6.97263033e+01,0.05182993
