#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.55551340e+03,1.00000000e-03,1.04180439e+01,0.00000000e+00,1.10156805e+04,6.97263033e+01,0.05124462
1.00000e+02,1.55148767e+03,1.00426339e-03,1.04180439e+01,0.00000000e+00,1.10097325e+04,6.97263033e+01,0.05133322
2.00000e+02,1.54751769e+03,1.00849762e-03,1.04180439e+01,0.00000000e+00,1.10038468e+04,6.97263033e+01,0.05142098
3.00000e+02,1.54360207e+03,1.01270322e-03,1.04180439e+01,0.00000000e+00,1.09980219e+04,6.97263033e+01,0.05150790
4.00000e+02,1.53973950e+03,1.01688069e-03,1.04180439e+01,0.00000000e+00,1.09922566e+04,6.97263033e+01,0.05159401
5.00000e+02,1.53592869e+03,1.02103052e-03,1.04180439e+01,0.00000000e+00,1.09865496e+04,6.97263033e+01,0.05167931
6.00000e+02,1.53216839e+03,1.02515319e-03,1.04180439e+01,0.00000000e+00,1.09808997e+04,6.97263033e+01,0.05176383
7.00000e+02,1.52845741e+03,1.02924914e-03,1.04180439e+01,0.00000000e+00,1.09753057e+04,6.97263033e+01,0.05184758
8.00000e+02,1.52479459e+03,1.03331885e-03,1.04180439e+01,0.00000000e+00,1.09697666e+04,6.97263033e+01,0.05193058
9.00000e+02,1.52117882e+03,1.03736273e-03,1.04180439e+01,0.00000000e+00,1.09642812e+04,6.97263033e+01,0.05201284
1.00000e+03,1.51760902e+03,1.04138123e-03,1.04180439e+01,0.00000000e+00,1.09588485e+04,6.97263033e+01,0.05209437
2.00000e+03,1.48422486e+03,1.08025573e-03,1.04180439e+01,0.00000000e+00,1.09072034e+04,6.97263033e+01,0.05287263
3.00000e+03,1.45447194e+03,1.11698685e-03,1.04180439e+01,0.00000000e+00,1.08598532e+04,6.97263033e+01,0.05359125
4.00000e+03,1.42769377e+03,1.15185954e-03,1.04180439e+01,0.00000000e+00,1.08161193e+04,6.97263033e+01,0.05425928
5.00000e+03,1.40339274e+03,1.18510205e-03,1.04180439e+01,0.00000000e+00,1.07754738e+04,6.97263033e+01,0.05488385
6.00000e+03,1.38118331e+03,1.21690035e-03,1.04180439e+01,0.00000000e+00,1.07374972e+04,6.97263033e+01,0.05547064
7.00000e+03,1.36076109e+03,1.24740832e-03,1.04180439e+01,0.00000000e+00,1.07018510e+04,6.97263033e+01,0.05602426
