#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54963098e+03,1.00000000e-03,4.88795361e+00,4.67968280e-02,1.10156805e+04,3.27143003e+01,0.03101982
1.00000e+02,1.54839562e+03,1.00131071e-03,4.88795361e+00,4.67968280e-02,1.10145508e+04,3.27143003e+01,0.03103631
2.00000e+02,1.54716547e+03,1.00261875e-03,4.88795361e+00,4.67968280e-02,1.10134247e+04,3.27143003e+01,0.03105276
3.00000e+02,1.54594051e+03,1.00392414e-03,4.88795361e+00,4.67968280e-02,1.10123021e+04,3.27143003e+01,0.03106916
4.00000e+02,1.54472069e+03,1.00522689e-03,4.88795361e+00,4.67968280e-02,1.10111831e+04,3.27143003e+01,0.03108552
5.00000e+02,1.54350597e+03,1.00652702e-03,4.88795361e+00,4.67968280e-02,1.10100676e+04,3.27143003e+01,0.03110182
6.00000e+02,1.54229631e+03,1.00782453e-03,4.88795361e+00,4.67968280e-02,1.10089555e+04,3.27143003e+01,0.03111809
7.00000e+02,1.54109169e+03,1.00911945e-03,4.88795361e+00,4.67968280e-02,1.10078470e+04,3.27143003e+01,0.03113430
8.00000e+02,1.53989205e+03,1.01041178e-03,4.88795361e+00,4.67968280e-02,1.10067419e+04,3.27143003e+01,0.03115047
9.00000e+02,1.53869736e+03,1.01170155e-03,4.88795361e+00,4.67968280e-02,1.10056402e+04,3.27143003e+01,0.03116659
1.00000e+03,1.53750759e+03,1.01298875e-03,4.88795361e+00,4.67968280e-02,1.10045419e+04,3.27143003e+01,0.03118267
2.00000e+03,1.52587240e+03,1.02572315e-03,4.88795361e+00,4.67968280e-02,1.09937411e+04,3.27143003e+01,0.03134098
3.00000e+03,1.51469103e+03,1.03821604e-03,4.88795361e+00,4.67968280e-02,1.09832576e+04,3.27143003e+01,0.03149503
4.00000e+03,1.50393253e+03,1.05047922e-03,4.88795361e+00,4.67968280e-02,1.09730728e+04,3.27143003e+01,0.03164505
5.00000e+03,1.49356886e+03,1.06252361e-03,4.88795361e+00,4.67968280e-02,1.09631694e+04,3.27143003e+01,0.03179127
6.00000e+03,1.48357463e+03,1.07435929e-03,4.88795361e+00,4.67968280e-02,1.09535319e+04,3.27143003e+01,0.03193389
7.00000e+03,1.47392673e+03,1.08599562e-03,4.88795361e+00,4.67968280e-02,1.09441459e+04,3.27143003e+01,0.03207309
8.00000e+03,1.46460409e+03,1.09744128e-03,4.88795361e+00,4.67968280e-02,1.09349982e+04,3.27143003e+01,0.03220905
9.00000e+03,1.45558742e+03,1.10870438e-03,4.88795361e+00,4.67968280e-02,1.09260766e+04,3.27143003e+01,0.03234193
1.00000e+04,1.44685908e+03,1.11979245e-03,4.88795361e+00,4.67968280e-02,1.09173697e+04,3.27143003e+01,0.03247187
1.10000e+04,1.43840282e+03,1.13071255e-03,4.88795361e+00,4.67968280e-02,1.09088673e+04,3.27143003e+01,0.03259901
1.20000e+04,1.43020372e+03,1.14147129e-03,4.88795361e+00,4.67968280e-02,1.09005595e+04,3.27143003e+01,0.03272348
1.30000e+04,1.42224799e+03,1.15207486e-03,4.88795361e+00,4.67968280e-02,1.08924374e+04,3.27143003e+01,0.03284540
1.40000e+04,1.41452290e+03,1.16252907e-03,4.88795361e+00,4.67968280e-02,1.08844925e+04,3.27143003e+01,0.03296487
1.50000e+04,1.40701663e+03,1.17283939e-03,4.88795361e+00,4.67968280e-02,1.08767171e+04,3.27143003e+01,0.03308201
1.60000e+04,1.39971826e+03,1.18301098e-03,4.88795361e+00,4.67968280e-02,1.08691039e+04,3.27143003e+01,0.03319691
1.70000e+04,1.39261761e+03,1.19304869e-03,4.88795361e+00,4.67968280e-02,1.08616459e+04,3.27143003e+01,0.03330966
1.80000e+04,1.38570522e+03,1.20295711e-03,4.88795361e+00,4.67968280e-02,1.08543368e+04,3.27143003e+01,0.03342034
1.90000e+04,1.37897225e+03,1.21274057e-03,4.88795361e+00,4.67968280e-02,1.08471705e+04,3.27143003e+01,0.03352904
2.00000e+04,1.37241048e+03,1.22240319e-03,4.88795361e+00,4.67968280e-02,1.08401414e+04,3.27143003e+01,0.03363582
2.10000e+04,1.36601220e+03,1.23194885e-03,4.88795361e+00,4.67968280e-02,1.08332442e+04,3.27143003e+01,0.03374077
2.20000e+04,1.35977019e+03,1.24138125e-03,4.88795361e+00,4.67968280e-02,1.08264738e+04,3.27143003e+01,0.03384395
2.30000e+04,1.35367769e+03,1.25070389e-03,4.88795361e+00,4.67968280e-02,1.08198255e+04,3.27143003e+01,0.03394542
2.40000e+04,1.34772837e+03,1.25992011e-03,4.88795361e+00,4.67968280e-02,1.08132948e+04,3.27143003e+01,0.03404525
2.50000e+04,1.34191625e+03,1.26903307e-03,4.88795361e+00,4.67968280e-02,1.08068774e+04,3.27143003e+01,0.03414348
2.60000e+04,1.33623573e+03,1.27804581e-03,4.88795361e+00,4.67968280e-02,1.08005695e+04,3.27143003e+01,0.03424018
2.70000e+04,1.33068151e+03,1.28696119e-03,4.88795361e+00,4.67968280e-02,1.07943672e+04,3.27143003e+01,0.03433539
2.80000e+04,1.32524862e+03,1.29578197e-03,4.88795361e+00,4.67968280e-02,1.07882668e+04,3.27143003e+01,0.03442917
2.90000e+04,1.31993235e+03,1.30451077e-03,4.88795361e+00,4.67968280e-02,1.07822651e+04,3.27143003e+01,0.03452155
3.00000e+04,1.31472825e+03,1.31315010e-03,4.88795361e+00,4.67968280e-02,1.07763587e+04,3.27143003e+01,0.03461259
3.10000e+04,1.30963213e+03,1.32170235e-03,4.88795361e+00,4.67968280e-02,1.07705445e+04,3.27143003e+01,0.03470232
3.20000e+04,1.30464000e+03,1.33016983e-03,4.88795361e+00,4.67968280e-02,1.07648197e+04,3.27143003e+01,0.03479079
3.30000e+04,1.29974809e+03,1.33855473e-03,4.88795361e+00,4.67968280e-02,1.07591814e+04,3.27143003e+01,0.03487803
3.40000e+04,1.29495282e+03,1.34685917e-03,4.88795361e+00,4.67968280e-02,1.07536269e+04,3.27143003e+01,0.03496408
3.50000e+04,1.29025079e+03,1.35508515e-03,4.88795361e+00,4.67968280e-02,1.07481538e+04,3.27143003e+01,0.03504898
3.60000e+04,1.28563879e+03,1.36323463e-03,4.88795361e+00,4.67968280e-02,1.07427595e+04,3.27143003e+01,0.03513275
3.70000e+04,1.28111375e+03,1.37130947e-03,4.88795361e+00,4.67968280e-02,1.07374418e+04,3.27143003e+01,0.03521543
3.80000e+04,1.27667274e+03,1.37931145e-03,4.88795361e+00,4.67968280e-02,1.07321985e+04,3.27143003e+01,0.03529705
3.90000e+04,1.27231299e+03,1.38724231e-03,4.88795361e+00,4.67968280e-02,1.07270274e+04,3.27143003e+01,0.03537763
4.00000e+04,1.26803185e+03,1.39510369e-03,4.88795361e+00,4.67968280e-02,1.07219265e+04,3.27143003e+01,0.03545722
4.10000e+04,1.26382681e+03,1.40289720e-03,4.88795361e+00,4.67968280e-02,1.07168939e+04,3.27143003e+01,0.03553582
4.20000e+04,1.25969544e+03,1.41062437e-03,4.88795361e+00,4.67968280e-02,1.07119276e+04,3.27143003e+01,0.03561348
4.30000e+04,1.25563544e+03,1.41828668e-03,4.88795361e+00,4.67968280e-02,1.07070260e+04,3.27143003e+01,0.03569020
4.40000e+04,1.25164463e+03,1.42588555e-03,4.88795361e+00,4.67968280e-02,1.07021872e+04,3.27143003e+01,0.03576603
4.50000e+04,1.24772090e+03,1.43342238e-03,4.88795361e+00,4.67968280e-02,1.06974097e+04,3.27143003e+01,0.03584097
4.60000e+04,1.24386224e+03,1.44089848e-03,4.88795361e+00,4.67968280e-02,1.06926918e+04,3.27143003e+01,0.03591506
4.70000e+04,1.24006672e+03,1.44831515e-03,4.88795361e+00,4.67968280e-02,1.06880320e+04,3.27143003e+01,0.03598830
