#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01217904,0.39,3.25983,100000.00000
0.250,0.01217904,0.53,75.19802,0.68428
0.250,0.01217904,0.08,114.03535,100000.00000
0.250,0.01217904,0.02,161.06892,100000.00000
0.250,0.01217904,0.09,95.33710,100000.00000
0.250,0.01217904,0.03,69.96191,100000.00000
0.250,0.01217904,0.35,11.40750,100000.00000
0.250,0.01217904,0.03,64.21560,100000.00000
0.250,0.01217904,0.54,110.41405,0.06854
0.250,0.01217904,0.48,108.56738,9.05669
0.250,0.01217904,0.37,69.10042,100000.00000
0.250,0.01217904,0.47,37.15583,492.08573
0.250,0.01217904,0.43,28.10747,100000.00000
0.250,0.01217904,0.23,156.34784,100000.00000
0.250,0.01217904,0.60,49.25280,0.62554
0.250,0.01217904,0.08,31.38596,100000.00000
0.250,0.01217904,0.54,33.55889,2.46407
0.250,0.01217904,0.60,81.24966,0.16536
0.250,0.01217904,0.52,138.09389,1.25107
0.250,0.01217904,0.22,84.35892,100000.00000
0.250,0.01217904,0.41,31.74966,100000.00000
0.250,0.01217904,0.29,161.42191,100000.00000
0.250,0.01217904,0.03,48.84283,100000.00000
0.250,0.01217904,0.07,45.32081,100000.00000
0.250,0.01217904,0.20,171.01115,100000.00000
0.250,0.01217904,0.24,112.96045,100000.00000
0.250,0.01217904,0.59,174.39801,1.20973
0.250,0.01217904,0.59,175.22801,0.71366
0.250,0.01217904,0.56,155.18297,1.18906
0.250,0.01217904,0.32,102.74009,100000.00000
0.250,0.01217904,0.57,135.48899,0.05875
0.250,0.01217904,0.38,143.51317,100000.00000
0.250,0.01217904,0.59,156.87662,0.64947
0.250,0.01217904,0.44,149.43958,14325.98397
0.250,0.01217904,0.42,11.82756,16010.43958
0.250,0.01217904,0.40,168.18606,81085.06436
0.250,0.01217904,0.29,85.31310,100000.00000
0.250,0.01217904,0.33,44.27239,100000.00000
0.250,0.01217904,0.08,121.96158,100000.00000
0.250,0.01217904,0.21,18.20208,100000.00000
0.250,0.01217904,0.38,44.72805,100000.00000
0.250,0.01217904,0.02,46.58040,100000.00000
0.250,0.01217904,0.02,119.25401,100000.00000
0.250,0.01217904,0.49,19.18769,20.52306
0.250,0.01217904,0.35,145.77740,100000.00000
0.250,0.01217904,0.54,141.54210,0.63533
0.250,0.01217904,0.30,31.86189,100000.00000
0.250,0.01217904,0.47,31.56683,52.48530
0.250,0.01217904,0.24,175.39106,100000.00000
0.250,0.01217904,0.12,168.50786,100000.00000
0.250,0.01217904,0.38,130.00546,957.99681
0.250,0.01217904,0.52,112.95098,0.61139
0.250,0.01217904,0.35,45.83532,100000.00000
0.250,0.01217904,0.29,32.73842,100000.00000
0.250,0.01217904,0.08,168.61140,100000.00000
0.250,0.01217904,0.06,75.13398,100000.00000
0.250,0.01217904,0.48,89.34592,4.83676
0.250,0.01217904,0.12,173.45160,100000.00000
0.250,0.01217904,0.45,48.25145,2799.46120
0.250,0.01217904,0.13,145.82041,100000.00000
0.250,0.01217904,0.44,43.77099,36766.10741
0.250,0.01217904,0.38,133.91033,5624.42039
0.250,0.01217904,0.26,68.56035,100000.00000
0.250,0.01217904,0.39,72.15326,68473.48242
0.250,0.01217904,0.42,179.43736,3638.46449
0.250,0.01217904,0.44,52.76659,15.07491
0.250,0.01217904,0.00,33.01281,100000.00000
0.250,0.01217904,0.46,87.73762,2.44775
0.250,0.01217904,0.11,88.65318,100000.00000
