#e_p,R_H,f_stab
0.220,0.640,0.10000
0.220,0.650,0.05000
0.220,0.660,-0.05000
0.220,0.670,-0.05000
0.220,0.680,-0.05000
0.220,0.690,-0.05000
0.220,0.700,-0.05000
0.230,0.250,1.00000
0.230,0.260,1.00000
0.230,0.270,1.00000
0.230,0.280,1.00000
0.230,0.290,1.00000
0.230,0.300,1.00000
0.230,0.310,1.00000
0.230,0.320,1.00000
0.230,0.330,0.95000
0.230,0.340,0.90000
0.230,0.350,0.95000
0.230,0.360,0.90000
0.230,0.370,0.95000
0.230,0.380,1.00000
0.230,0.390,1.00000
0.230,0.400,1.00000
0.230,0.410,0.95000
0.230,0.420,1.00000
0.230,0.430,0.95000
0.230,0.440,0.85000
0.230,0.450,0.85000
0.230,0.460,0.80000
0.230,0.470,0.80000
0.230,0.480,0.75000
0.230,0.490,0.65000
0.230,0.500,0.70000
0.230,0.510,0.60000
0.230,0.520,0.60000
0.230,0.530,0.45000
0.230,0.540,0.25000
0.230,0.550,0.25000
0.230,0.560,0.25000
0.230,0.570,0.50000
0.230,0.580,0.50000
0.230,0.590,0.45000
0.230,0.600,0.20000
0.230,0.610,0.35000
0.230,0.620,0.35000
0.230,0.630,0.20000
0.230,0.640,0.10000
0.230,0.650,0.10000
0.230,0.660,-0.05000
0.230,0.670,-0.05000
0.230,0.680,-0.05000
0.230,0.690,-0.05000
0.230,0.700,-0.05000
0.240,0.250,1.00000
0.240,0.260,1.00000
0.240,0.270,1.00000
0.240,0.280,1.00000
0.240,0.290,1.00000
0.240,0.300,1.00000
0.240,0.310,1.00000
0.240,0.320,0.95000
0.240,0.330,0.90000
0.240,0.340,0.95000
0.240,0.350,0.95000
0.240,0.360,0.90000
0.240,0.370,1.00000
0.240,0.380,1.00000
0.240,0.390,1.00000
0.240,0.400,1.00000
0.240,0.410,0.95000
0.240,0.420,0.95000
0.240,0.430,1.00000
0.240,0.440,0.85000
0.240,0.450,0.75000
0.240,0.460,0.85000
0.240,0.470,0.65000
0.240,0.480,0.60000
0.240,0.490,0.55000
0.240,0.500,0.50000
0.240,0.510,0.45000
0.240,0.520,0.40000
0.240,0.530,0.30000
0.240,0.540,0.15000
0.240,0.550,0.15000
0.240,0.560,0.20000
0.240,0.570,0.30000
0.240,0.580,0.25000
0.240,0.590,0.30000
0.240,0.600,0.20000
0.240,0.610,0.10000
0.240,0.620,0.10000
0.240,0.630,0.15000
0.240,0.640,0.05000
0.240,0.650,0.05000
0.240,0.660,-0.05000
0.240,0.670,-0.05000
0.240,0.680,-0.05000
0.240,0.690,-0.05000
0.240,0.700,-0.05000
0.250,0.250,1.00000
0.250,0.260,1.00000
0.250,0.270,1.00000
0.250,0.280,1.00000
0.250,0.290,1.00000
0.250,0.300,1.00000
0.250,0.310,1.00000
0.250,0.320,1.00000
0.250,0.330,0.90000
0.250,0.340,0.80000
0.250,0.350,0.90000
0.250,0.360,0.90000
0.250,0.370,0.90000
0.250,0.380,1.00000
0.250,0.390,1.00000
0.250,0.400,0.90000
0.250,0.410,0.95000
0.250,0.420,0.90000
0.250,0.430,1.00000
0.250,0.440,0.80000
0.250,0.450,0.70000
0.250,0.460,0.70000
0.250,0.470,0.40000
0.250,0.480,0.85000
0.250,0.490,0.75000
0.250,0.500,0.50000
0.250,0.510,0.40000
0.250,0.520,0.45000
0.250,0.530,0.45000
0.250,0.540,0.40000
0.250,0.550,0.25000
0.250,0.560,0.20000
0.250,0.570,0.30000
0.250,0.580,0.40000
0.250,0.590,0.25000
0.250,0.600,0.10000
0.250,0.610,0.10000
0.250,0.620,0.15000
0.250,0.630,0.10000
0.250,0.640,0.10000
0.250,0.650,-0.05000
0.250,0.660,-0.05000
0.250,0.670,-0.05000
0.250,0.680,-0.05000
0.250,0.690,-0.05000
0.250,0.700,-0.05000
0.260,0.250,1.00000
0.260,0.260,1.00000
0.260,0.270,1.00000
0.260,0.280,1.00000
0.260,0.290,1.00000
0.260,0.300,1.00000
0.260,0.310,1.00000
0.260,0.320,0.90000
0.260,0.330,0.90000
0.260,0.340,0.85000
0.260,0.350,0.80000
0.260,0.360,0.75000
0.260,0.370,0.65000
0.260,0.380,0.90000
0.260,0.390,0.90000
0.260,0.400,0.85000
0.260,0.410,0.95000
0.260,0.420,0.85000
0.260,0.430,0.95000
0.260,0.440,0.75000
0.260,0.450,0.75000
0.260,0.460,0.80000
0.260,0.470,0.55000
0.260,0.480,0.35000
0.260,0.490,0.60000
0.260,0.500,0.65000
0.260,0.510,0.45000
0.260,0.520,0.30000
0.260,0.530,0.40000
0.260,0.540,0.45000
0.260,0.550,0.20000
0.260,0.560,0.05000
0.260,0.570,0.10000
0.260,0.580,0.15000
0.260,0.590,0.05000
0.260,0.600,0.10000
0.260,0.610,-0.05000
0.260,0.620,0.05000
0.260,0.630,0.05000
0.260,0.640,0.05000
0.260,0.650,-0.05000
0.260,0.660,-0.05000
0.260,0.670,-0.05000
0.260,0.680,-0.05000
0.260,0.690,-0.05000
0.260,0.700,-0.05000
0.270,0.250,1.00000
0.270,0.260,1.00000
0.270,0.270,1.00000
0.270,0.280,1.00000
0.270,0.290,1.00000
0.270,0.300,1.00000
0.270,0.310,1.00000
0.270,0.320,0.95000
0.270,0.330,0.80000
0.270,0.340,0.60000
0.270,0.350,0.70000
0.270,0.360,0.80000
0.270,0.370,0.65000
0.270,0.380,0.95000
0.270,0.390,0.90000
0.270,0.400,0.85000
0.270,0.410,0.85000
0.270,0.420,0.95000
0.270,0.430,0.95000
0.270,0.440,0.70000
0.270,0.450,0.70000
0.270,0.460,0.50000
0.270,0.470,0.50000
0.270,0.480,0.30000
0.270,0.490,0.35000
0.270,0.500,0.35000
0.270,0.510,0.35000
0.270,0.520,0.20000
0.270,0.530,0.15000
0.270,0.540,0.15000
0.270,0.550,0.10000
0.270,0.560,0.05000
0.270,0.570,0.10000
0.270,0.580,0.15000
0.270,0.590,0.05000
0.270,0.600,0.05000
0.270,0.610,0.05000
0.270,0.620,-0.05000
0.270,0.630,-0.05000
0.270,0.640,0.05000
0.270,0.650,-0.05000
0.270,0.660,-0.05000
0.270,0.670,-0.05000
0.270,0.680,-0.05000
0.270,0.690,-0.05000
0.270,0.700,-0.05000
0.280,0.250,1.00000
0.280,0.260,1.00000
0.280,0.270,1.00000
0.280,0.280,1.00000
0.280,0.290,1.00000
0.280,0.300,1.00000
0.280,0.310,1.00000
0.280,0.320,0.75000
0.280,0.330,0.70000
0.280,0.340,0.55000
0.280,0.350,0.70000
0.280,0.360,0.70000
0.280,0.370,0.65000
0.280,0.380,0.85000
0.280,0.390,0.95000
0.280,0.400,0.85000
0.280,0.410,0.80000
0.280,0.420,0.85000
0.280,0.430,1.00000
0.280,0.440,0.60000
0.280,0.450,0.70000
0.280,0.460,0.55000
0.280,0.470,0.50000
0.280,0.480,0.35000
0.280,0.490,0.35000
0.280,0.500,0.40000
0.280,0.510,0.45000
0.280,0.520,0.25000
0.280,0.530,0.15000
0.280,0.540,0.20000
0.280,0.550,0.15000
0.280,0.560,0.10000
0.280,0.570,0.10000
0.280,0.580,0.10000
0.280,0.590,0.10000
0.280,0.600,0.10000
0.280,0.610,-0.05000
0.280,0.620,0.05000
0.280,0.630,0.05000
0.280,0.640,0.05000
0.280,0.650,-0.05000
0.280,0.660,-0.05000
0.280,0.670,-0.05000
0.280,0.680,-0.05000
0.280,0.690,-0.05000
0.280,0.700,-0.05000
0.290,0.250,1.00000
0.290,0.260,1.00000
0.290,0.270,1.00000
0.290,0.280,1.00000
0.290,0.290,1.00000
0.290,0.300,1.00000
0.290,0.310,1.00000
0.290,0.320,0.90000
0.290,0.330,0.65000
0.290,0.340,0.40000
0.290,0.350,0.55000
0.290,0.360,0.75000
0.290,0.370,0.70000
0.290,0.380,0.90000
0.290,0.390,0.95000
0.290,0.400,0.80000
0.290,0.410,0.60000
0.290,0.420,0.85000
0.290,0.430,0.85000
0.290,0.440,0.75000
0.290,0.450,0.55000
0.290,0.460,0.45000
0.290,0.470,0.60000
0.290,0.480,0.45000
0.290,0.490,0.50000
0.290,0.500,0.55000
0.290,0.510,0.35000
0.290,0.520,0.40000
0.290,0.530,0.25000
0.290,0.540,0.25000
0.290,0.550,0.35000
0.290,0.560,0.30000
0.290,0.570,0.15000
0.290,0.580,0.15000
0.290,0.590,0.15000
0.290,0.600,0.05000
0.290,0.610,-0.05000
0.290,0.620,-0.05000
0.290,0.630,0.05000
0.290,0.640,-0.05000
0.290,0.650,-0.05000
0.290,0.660,-0.05000
0.290,0.670,-0.05000
0.290,0.680,-0.05000
0.290,0.690,-0.05000
0.290,0.700,-0.05000
0.300,0.250,1.00000
0.300,0.260,1.00000
0.300,0.270,1.00000
0.300,0.280,1.00000
0.300,0.290,1.00000
0.300,0.300,1.00000
0.300,0.310,1.00000
0.300,0.320,0.90000
0.300,0.330,0.70000
0.300,0.340,0.35000
0.300,0.350,0.35000
0.300,0.360,0.75000
0.300,0.370,0.85000
0.300,0.380,0.80000
0.300,0.390,0.95000
0.300,0.400,0.70000
0.300,0.410,0.80000
0.300,0.420,0.60000
0.300,0.430,0.85000
0.300,0.440,0.70000
0.300,0.450,0.60000
0.300,0.460,0.70000
0.300,0.470,0.35000
0.300,0.480,0.45000
0.300,0.490,0.50000
0.300,0.500,0.40000
0.300,0.510,0.30000
0.300,0.520,0.40000
0.300,0.530,0.30000
0.300,0.540,0.30000
0.300,0.550,0.15000
0.300,0.560,0.05000
0.300,0.570,0.15000
0.300,0.580,0.15000
0.300,0.590,0.15000
0.300,0.600,0.05000
0.300,0.610,-0.05000
0.300,0.620,-0.05000
0.300,0.630,0.05000
0.300,0.640,-0.05000
0.300,0.650,-0.05000
0.300,0.660,-0.05000
0.300,0.670,-0.05000
0.300,0.680,-0.05000
0.300,0.690,-0.05000
0.300,0.700,-0.05000
0.310,0.250,1.00000
0.310,0.260,1.00000
0.310,0.270,1.00000
0.310,0.280,1.00000
0.310,0.290,1.00000
0.310,0.300,1.00000
0.310,0.310,1.00000
0.310,0.320,0.55000
0.310,0.330,0.40000
0.310,0.340,0.25000
0.310,0.350,0.55000
0.310,0.360,0.75000
0.310,0.370,0.75000
0.310,0.380,0.85000
0.310,0.390,0.85000
0.310,0.400,0.55000
0.310,0.410,0.90000
0.310,0.420,0.85000
0.310,0.430,0.50000
0.310,0.440,0.40000
0.310,0.450,0.45000
0.310,0.460,0.45000
0.310,0.470,0.25000
0.310,0.480,0.15000
0.310,0.490,0.20000
0.310,0.500,0.20000
0.310,0.510,0.15000
0.310,0.520,0.10000
0.310,0.530,0.15000
0.310,0.540,0.10000
0.310,0.550,0.05000
0.310,0.560,0.05000
0.310,0.570,0.05000
0.310,0.580,0.05000
0.310,0.590,-0.05000
0.310,0.600,0.05000
0.310,0.610,-0.05000
0.310,0.620,0.05000
0.310,0.630,-0.05000
0.310,0.640,-0.05000
0.310,0.650,-0.05000
0.310,0.660,-0.05000
0.310,0.670,-0.05000
0.310,0.680,-0.05000
0.310,0.690,-0.05000
0.310,0.700,-0.05000
0.320,0.250,1.00000
0.320,0.260,1.00000
0.320,0.270,1.00000
0.320,0.280,1.00000
0.320,0.290,1.00000
0.320,0.300,1.00000
0.320,0.310,1.00000
0.320,0.320,0.60000
0.320,0.330,0.45000
0.320,0.340,0.30000
0.320,0.350,0.50000
0.320,0.360,0.65000
0.320,0.370,0.70000
0.320,0.380,0.70000
0.320,0.390,0.90000
0.320,0.400,0.70000
0.320,0.410,0.55000
0.320,0.420,0.80000
0.320,0.430,0.60000
0.320,0.440,0.50000
0.320,0.450,0.45000
0.320,0.460,0.40000
0.320,0.470,0.15000
0.320,0.480,0.15000
0.320,0.490,0.25000
0.320,0.500,0.20000
0.320,0.510,0.20000
0.320,0.520,0.20000
0.320,0.530,0.15000
0.320,0.540,0.10000
0.320,0.550,0.05000
0.320,0.560,0.15000
0.320,0.570,0.10000
0.320,0.580,0.10000
0.320,0.590,0.05000
0.320,0.600,-0.05000
0.320,0.610,-0.05000
0.320,0.620,-0.05000
0.320,0.630,-0.05000
0.320,0.640,-0.05000
0.320,0.650,-0.05000
0.320,0.660,-0.05000
0.320,0.670,-0.05000
0.320,0.680,-0.05000
0.320,0.690,-0.05000
0.320,0.700,-0.05000
0.330,0.250,1.00000
0.330,0.260,1.00000
0.330,0.270,1.00000
0.330,0.280,1.00000
0.330,0.290,1.00000
0.330,0.300,1.00000
0.330,0.310,1.00000
0.330,0.320,0.75000
0.330,0.330,0.60000
0.330,0.340,0.40000
0.330,0.350,0.25000
0.330,0.360,0.45000
0.330,0.370,0.30000
0.330,0.380,0.65000
0.330,0.390,0.70000
0.330,0.400,0.75000
0.330,0.410,0.70000
0.330,0.420,0.70000
0.330,0.430,0.60000
0.330,0.440,0.75000
0.330,0.450,0.65000
0.330,0.460,0.45000
0.330,0.470,0.50000
0.330,0.480,0.40000
0.330,0.490,0.35000
0.330,0.500,0.30000
0.330,0.510,0.25000
0.330,0.520,0.15000
0.330,0.530,0.15000
0.330,0.540,0.10000
0.330,0.550,0.05000
0.330,0.560,-0.05000
0.330,0.570,0.05000
0.330,0.580,0.05000
0.330,0.590,0.05000
0.330,0.600,-0.05000
0.330,0.610,-0.05000
0.330,0.620,-0.05000
0.330,0.630,-0.05000
0.330,0.640,-0.05000
0.330,0.650,-0.05000
0.330,0.660,-0.05000
0.330,0.670,-0.05000
0.330,0.680,-0.05000
0.330,0.690,-0.05000
0.330,0.700,-0.05000
0.340,0.250,1.00000
0.340,0.260,1.00000
0.340,0.270,1.00000
0.340,0.280,1.00000
0.340,0.290,1.00000
0.340,0.300,1.00000
0.340,0.310,1.00000
0.340,0.320,0.65000
0.340,0.330,0.30000
0.340,0.340,0.20000
0.340,0.350,0.40000
0.340,0.360,0.50000
0.340,0.370,0.70000
0.340,0.380,0.75000
0.340,0.390,0.55000
0.340,0.400,0.70000
0.340,0.410,0.65000
0.340,0.420,0.60000
0.340,0.430,0.40000
0.340,0.440,0.45000
0.340,0.450,0.35000
0.340,0.460,0.35000
0.340,0.470,0.25000
0.340,0.480,0.05000
0.340,0.490,0.20000
0.340,0.500,0.20000
0.340,0.510,0.10000
0.340,0.520,0.05000
0.340,0.530,0.05000
0.340,0.540,-0.05000
0.340,0.550,-0.05000
0.340,0.560,-0.05000
0.340,0.570,-0.05000
0.340,0.580,-0.05000
0.340,0.590,-0.05000
0.340,0.600,-0.05000
0.340,0.610,-0.05000
0.340,0.620,-0.05000
0.340,0.630,-0.05000
0.340,0.640,-0.05000
0.340,0.650,-0.05000
0.340,0.660,-0.05000
0.340,0.670,-0.05000
0.340,0.680,-0.05000
0.340,0.690,-0.05000
0.340,0.700,-0.05000
0.350,0.250,1.00000
0.350,0.260,1.00000
0.350,0.270,1.00000
0.350,0.280,1.00000
0.350,0.290,1.00000
0.350,0.300,1.00000
0.350,0.310,1.00000
0.350,0.320,0.75000
0.350,0.330,0.45000
0.350,0.340,0.45000
0.350,0.350,0.35000
0.350,0.360,0.40000
0.350,0.370,0.55000
0.350,0.380,0.60000
0.350,0.390,0.60000
0.350,0.400,0.80000
0.350,0.410,0.75000
0.350,0.420,0.65000
0.350,0.430,0.40000
0.350,0.440,0.45000
0.350,0.450,0.40000
0.350,0.460,0.45000
0.350,0.470,0.20000
0.350,0.480,0.20000
0.350,0.490,0.05000
0.350,0.500,0.15000
0.350,0.510,0.15000
0.350,0.520,0.15000
0.350,0.530,0.10000
0.350,0.540,0.10000
0.350,0.550,0.10000
0.350,0.560,0.05000
0.350,0.570,-0.05000
0.350,0.580,-0.05000
0.350,0.590,-0.05000
0.350,0.600,-0.05000
0.350,0.610,-0.05000
0.350,0.620,-0.05000
0.350,0.630,-0.05000
0.350,0.640,-0.05000
0.350,0.650,-0.05000
0.350,0.660,-0.05000
0.350,0.670,-0.05000
0.350,0.680,-0.05000
0.350,0.690,-0.05000
0.350,0.700,-0.05000
0.360,0.250,1.00000
0.360,0.260,1.00000
0.360,0.270,1.00000
0.360,0.280,1.00000
0.360,0.290,1.00000
0.360,0.300,1.00000
0.360,0.310,0.94444
0.360,0.320,0.60000
0.360,0.330,0.60000
0.360,0.340,0.20000
0.360,0.350,0.35000
0.360,0.360,0.25000
0.360,0.370,0.30000
0.360,0.380,0.85000
0.360,0.390,0.70000
0.360,0.400,0.55000
0.360,0.410,0.30000
0.360,0.420,0.50000
0.360,0.430,0.50000
0.360,0.440,0.35000
0.360,0.450,0.25000
0.360,0.460,0.20000
0.360,0.470,0.30000
0.360,0.480,0.25000
0.360,0.490,0.20000
0.360,0.500,0.15000
0.360,0.510,0.20000
0.360,0.520,0.05000
0.360,0.530,0.05000
0.360,0.540,0.05000
0.360,0.550,0.05000
0.360,0.560,-0.05000
0.360,0.570,-0.05000
0.360,0.580,-0.05000
0.360,0.590,-0.05000
0.360,0.600,-0.05000
0.360,0.610,-0.05000
0.360,0.620,-0.05000
0.360,0.630,-0.05000
0.360,0.640,-0.05000
0.360,0.650,-0.05000
0.360,0.660,-0.05000
0.360,0.670,-0.05000
0.360,0.680,-0.05000
0.360,0.690,-0.05000
0.360,0.700,-0.05000
0.370,0.250,1.00000
0.370,0.260,1.00000
0.370,0.270,1.00000
0.370,0.280,1.00000
0.370,0.290,1.00000
0.370,0.300,1.00000
0.370,0.310,0.90000
0.370,0.320,0.45000
0.370,0.330,0.40000
0.370,0.340,0.35000
0.370,0.350,0.45000
0.370,0.360,0.35000
0.370,0.370,0.50000
0.370,0.380,0.65000
0.370,0.390,0.40000
0.370,0.400,0.45000
0.370,0.410,0.30000
0.370,0.420,0.20000
0.370,0.430,0.15000
0.370,0.440,0.30000
0.370,0.450,0.25000
0.370,0.460,0.10000
0.370,0.470,0.05000
0.370,0.480,0.05000
0.370,0.490,0.10000
0.370,0.500,0.10000
0.370,0.510,0.05000
0.370,0.520,0.05000
0.370,0.530,-0.05000
0.370,0.540,-0.05000
0.370,0.550,-0.05000
0.370,0.560,-0.05000
0.370,0.570,-0.05000
0.370,0.580,-0.05000
0.370,0.590,-0.05000
0.370,0.600,-0.05000
0.370,0.610,-0.05000
0.370,0.620,-0.05000
0.370,0.630,-0.05000
0.370,0.640,-0.05000
0.370,0.650,-0.05000
0.370,0.660,-0.05000
0.370,0.670,-0.05000
0.370,0.680,-0.05000
0.370,0.690,-0.05000
0.370,0.700,-0.05000
0.380,0.250,1.00000
0.380,0.260,1.00000
0.380,0.270,1.00000
0.380,0.280,1.00000
0.380,0.290,1.00000
0.380,0.300,0.94737
0.380,0.310,0.85000
0.380,0.320,0.60000
0.380,0.330,0.45000
0.380,0.340,0.25000
0.380,0.350,0.15000
0.380,0.360,0.25000
0.380,0.370,0.40000
0.380,0.380,0.50000
0.380,0.390,0.40000
0.380,0.400,0.60000
0.380,0.410,0.40000
0.380,0.420,0.20000
0.380,0.430,0.20000
0.380,0.440,0.20000
0.380,0.450,0.35000
0.380,0.460,0.35000
0.380,0.470,0.15000
0.380,0.480,0.15000
0.380,0.490,0.10000
0.380,0.500,0.05000
0.380,0.510,0.10000
0.380,0.520,0.10000
0.380,0.530,-0.05000
0.380,0.540,-0.05000
0.380,0.550,-0.05000
0.380,0.560,-0.05000
0.380,0.570,-0.05000
0.380,0.580,-0.05000
0.380,0.590,-0.05000
0.380,0.600,-0.05000
0.380,0.610,-0.05000
0.380,0.620,-0.05000
0.380,0.630,-0.05000
0.380,0.640,-0.05000
0.380,0.650,-0.05000
0.380,0.660,-0.05000
0.380,0.670,-0.05000
0.380,0.680,-0.05000
0.380,0.690,-0.05000
0.380,0.700,-0.05000
0.390,0.250,1.00000
0.390,0.260,1.00000
0.390,0.270,1.00000
0.390,0.280,1.00000
0.390,0.290,1.00000
0.390,0.300,1.00000
0.390,0.310,0.70000
0.390,0.320,0.40000
0.390,0.330,0.40000
0.390,0.340,0.50000
0.390,0.350,0.60000
0.390,0.360,0.05000
0.390,0.370,0.35000
0.390,0.380,0.25000
0.390,0.390,0.20000
0.390,0.400,0.20000
0.390,0.410,0.20000
0.390,0.420,0.10000
0.390,0.430,0.20000
0.390,0.440,0.10000
0.390,0.450,0.10000
0.390,0.460,0.10000
0.390,0.470,0.15000
0.390,0.480,0.15000
0.390,0.490,0.05000
0.390,0.500,0.05000
0.390,0.510,0.05000
0.390,0.520,-0.05000
0.390,0.530,-0.05000
0.390,0.540,-0.05000
0.390,0.550,-0.05000
0.390,0.560,-0.05000
0.390,0.570,-0.05000
0.390,0.580,-0.05000
0.390,0.590,-0.05000
0.390,0.600,-0.05000
0.390,0.610,-0.05000
0.390,0.620,-0.05000
0.390,0.630,-0.05000
0.390,0.640,-0.05000
0.390,0.650,-0.05000
0.390,0.660,-0.05000
0.390,0.670,-0.05000
0.390,0.680,-0.05000
0.390,0.690,-0.05000
0.390,0.700,-0.05000
0.400,0.250,1.00000
0.400,0.260,1.00000
0.400,0.270,1.00000
0.400,0.280,1.00000
0.400,0.290,1.00000
0.400,0.300,0.89474
0.400,0.310,0.75000
0.400,0.320,0.40000
0.400,0.330,0.40000
0.400,0.340,0.55000
0.400,0.350,0.55000
0.400,0.360,0.10000
0.400,0.370,0.20000
0.400,0.380,0.05000
0.400,0.390,0.20000
0.400,0.400,0.20000
0.400,0.410,0.20000
0.400,0.420,0.10000
0.400,0.430,0.05000
0.400,0.440,0.10000
0.400,0.450,0.20000
0.400,0.460,0.20000
0.400,0.470,0.10000
0.400,0.480,0.05000
0.400,0.490,0.05000
0.400,0.500,-0.05000
0.400,0.510,0.05000
0.400,0.520,-0.05000
0.400,0.530,-0.05000
0.400,0.540,-0.05000
0.400,0.550,-0.05000
0.400,0.560,-0.05000
0.400,0.570,-0.05000
0.400,0.580,-0.05000
0.400,0.590,-0.05000
0.400,0.600,-0.05000
0.400,0.610,-0.05000
0.400,0.620,-0.05000
0.400,0.630,-0.05000
0.400,0.640,-0.05000
0.400,0.650,-0.05000
0.400,0.660,-0.05000
0.400,0.670,-0.05000
0.400,0.680,-0.05000
0.400,0.690,-0.05000
0.400,0.700,-0.05000
0.410,0.250,1.00000
0.410,0.260,1.00000
0.410,0.270,1.00000
0.410,0.280,0.89474
0.410,0.290,1.00000
0.410,0.300,0.77778
0.410,0.310,0.60000
0.410,0.320,0.25000
0.410,0.330,0.25000
0.410,0.340,0.50000
0.410,0.350,0.40000
0.410,0.360,0.20000
0.410,0.370,0.25000
0.410,0.380,0.15000
0.410,0.390,0.20000
0.410,0.400,0.10000
0.410,0.410,0.15000
0.410,0.420,0.15000
0.410,0.430,0.20000
0.410,0.440,0.15000
0.410,0.450,0.10000
0.410,0.460,0.10000
0.410,0.470,0.05000
0.410,0.480,-0.05000
0.410,0.490,-0.05000
0.410,0.500,0.05000
0.410,0.510,0.05000
0.410,0.520,-0.05000
0.410,0.530,-0.05000
0.410,0.540,-0.05000
0.410,0.550,-0.05000
0.410,0.560,-0.05000
0.410,0.570,-0.05000
0.410,0.580,-0.05000
0.410,0.590,-0.05000
0.410,0.600,-0.05000
0.410,0.610,-0.05000
0.410,0.620,-0.05000
0.410,0.630,-0.05000
0.410,0.640,-0.05000
0.410,0.650,-0.05000
0.410,0.660,-0.05000
0.410,0.670,-0.05000
0.410,0.680,-0.05000
0.410,0.690,-0.05000
0.410,0.700,-0.05000
0.420,0.250,1.00000
0.420,0.260,1.00000
0.420,0.270,1.00000
0.420,0.280,1.00000
0.420,0.290,0.88235
0.420,0.300,1.00000
0.420,0.310,0.68421
0.420,0.320,0.65000
0.420,0.330,0.25000
0.420,0.340,0.30000
0.420,0.350,0.15000
0.420,0.360,-0.05000
0.420,0.370,-0.05000
0.420,0.380,0.15000
0.420,0.390,0.25000
0.420,0.400,0.15000
0.420,0.410,0.35000
0.420,0.420,0.25000
0.420,0.430,0.40000
0.420,0.440,0.25000
0.420,0.450,0.05000
0.420,0.460,0.20000
0.420,0.470,0.15000
0.420,0.480,0.10000
0.420,0.490,0.05000
0.420,0.500,0.05000
0.420,0.510,-0.05000
0.420,0.520,-0.05000
0.420,0.530,-0.05000
0.420,0.540,-0.05000
0.420,0.550,-0.05000
0.420,0.560,-0.05000
0.420,0.570,-0.05000
0.420,0.580,-0.05000
0.420,0.590,-0.05000
0.420,0.600,-0.05000
0.420,0.610,-0.05000
0.420,0.620,-0.05000
0.420,0.630,-0.05000
0.420,0.640,-0.05000
0.420,0.650,-0.05000
0.420,0.660,-0.05000
0.420,0.670,-0.05000
0.420,0.680,-0.05000
0.420,0.690,-0.05000
0.420,0.700,-0.05000
0.430,0.250,1.00000
0.430,0.260,1.00000
0.430,0.270,1.00000
0.430,0.280,0.94444
0.430,0.290,0.81250
0.430,0.300,0.85000
0.430,0.310,0.35000
0.430,0.320,0.30000
0.430,0.330,0.25000
0.430,0.340,0.20000
0.430,0.350,0.15000
0.430,0.360,-0.05000
0.430,0.370,0.15000
0.430,0.380,-0.05000
0.430,0.390,0.15000
0.430,0.400,0.10000
0.430,0.410,0.20000
0.430,0.420,0.15000
0.430,0.430,0.20000
0.430,0.440,0.25000
0.430,0.450,0.10000
0.430,0.460,-0.05000
0.430,0.470,0.10000
0.430,0.480,-0.05000
0.430,0.490,-0.05000
0.430,0.500,-0.05000
0.430,0.510,-0.05000
0.430,0.520,-0.05000
0.430,0.530,-0.05000
0.430,0.540,-0.05000
0.430,0.550,-0.05000
0.430,0.560,-0.05000
0.430,0.570,-0.05000
0.430,0.580,-0.05000
0.430,0.590,-0.05000
0.430,0.600,-0.05000
0.430,0.610,-0.05000
0.430,0.620,-0.05000
0.430,0.630,-0.05000
0.430,0.640,-0.05000
0.430,0.650,-0.05000
0.430,0.660,-0.05000
0.430,0.670,-0.05000
0.430,0.680,-0.05000
0.430,0.690,-0.05000
0.430,0.700,-0.05000
0.440,0.250,1.00000
0.440,0.260,1.00000
0.440,0.270,1.00000
0.440,0.280,0.87500
0.440,0.290,0.94737
0.440,0.300,0.77778
0.440,0.310,0.65000
0.440,0.320,0.60000
0.440,0.330,0.15000
0.440,0.340,0.15000
0.440,0.350,0.05000
0.440,0.360,-0.05000
0.440,0.370,-0.05000
0.440,0.380,0.15000
0.440,0.390,0.10000
0.440,0.400,0.05000
0.440,0.410,0.15000
0.440,0.420,0.20000
0.440,0.430,0.15000
0.440,0.440,0.10000
0.440,0.450,0.10000
0.440,0.460,-0.05000
0.440,0.470,0.05000
0.440,0.480,0.05000
0.440,0.490,0.05000
0.440,0.500,-0.05000
0.440,0.510,-0.05000
0.440,0.520,-0.05000
0.440,0.530,-0.05000
0.440,0.540,-0.05000
0.440,0.550,-0.05000
0.440,0.560,-0.05000
0.440,0.570,-0.05000
0.440,0.580,-0.05000
0.440,0.590,-0.05000
0.440,0.600,-0.05000
0.440,0.610,-0.05000
0.440,0.620,-0.05000
0.440,0.630,-0.05000
0.440,0.640,-0.05000
0.440,0.650,-0.05000
0.440,0.660,-0.05000
0.440,0.670,-0.05000
0.440,0.680,-0.05000
0.440,0.690,-0.05000
0.440,0.700,-0.05000
0.450,0.250,1.00000
0.450,0.260,1.00000
0.450,0.270,1.00000
0.450,0.280,0.87500
0.450,0.290,0.57895
0.450,0.300,0.68750
0.450,0.310,0.35000
0.450,0.320,0.25000
0.450,0.330,0.10000
0.450,0.340,0.10000
0.450,0.350,0.05000
0.450,0.360,-0.05000
0.450,0.370,0.05000
0.450,0.380,0.05000
0.450,0.390,0.05000
0.450,0.400,0.05000
0.450,0.410,0.05000
0.450,0.420,-0.05000
0.450,0.430,-0.05000
0.450,0.440,0.05000
0.450,0.450,0.05000
0.450,0.460,-0.05000
0.450,0.470,-0.05000
0.450,0.480,-0.05000
0.450,0.490,-0.05000
0.450,0.500,-0.05000
0.450,0.510,-0.05000
0.450,0.520,-0.05000
0.450,0.530,-0.05000
0.450,0.540,-0.05000
0.450,0.550,-0.05000
0.450,0.560,-0.05000
