#e_p,R_H,f_stab
0.040,0.550,1.00000
0.040,0.560,1.00000
0.040,0.570,1.00000
0.040,0.580,1.00000
0.040,0.590,1.00000
0.040,0.600,0.90000
0.040,0.610,0.70000
0.040,0.620,0.85000
0.040,0.630,0.80000
0.040,0.640,0.75000
0.040,0.650,0.80000
0.040,0.660,0.60000
0.040,0.670,0.60000
0.040,0.680,0.55000
0.040,0.690,0.55000
0.040,0.700,0.40000
0.050,0.250,1.00000
0.050,0.260,1.00000
0.050,0.270,1.00000
0.050,0.280,1.00000
0.050,0.290,1.00000
0.050,0.300,1.00000
0.050,0.310,1.00000
0.050,0.320,1.00000
0.050,0.330,1.00000
0.050,0.340,1.00000
0.050,0.350,1.00000
0.050,0.360,1.00000
0.050,0.370,1.00000
0.050,0.380,1.00000
0.050,0.390,1.00000
0.050,0.400,1.00000
0.050,0.410,1.00000
0.050,0.420,1.00000
0.050,0.430,1.00000
0.050,0.440,1.00000
0.050,0.450,1.00000
0.050,0.460,1.00000
0.050,0.470,1.00000
0.050,0.480,1.00000
0.050,0.490,1.00000
0.050,0.500,1.00000
0.050,0.510,1.00000
0.050,0.520,1.00000
0.050,0.530,1.00000
0.050,0.540,1.00000
0.050,0.550,1.00000
0.050,0.560,1.00000
0.050,0.570,1.00000
0.050,0.580,1.00000
0.050,0.590,1.00000
0.050,0.600,0.85000
0.050,0.610,0.80000
0.050,0.620,0.80000
0.050,0.630,0.85000
0.050,0.640,0.85000
0.050,0.650,0.75000
0.050,0.660,0.60000
0.050,0.670,0.45000
0.050,0.680,0.40000
0.050,0.690,0.40000
0.050,0.700,0.30000
0.060,0.250,1.00000
0.060,0.260,1.00000
0.060,0.270,1.00000
0.060,0.280,1.00000
0.060,0.290,1.00000
0.060,0.300,1.00000
0.060,0.310,1.00000
0.060,0.320,1.00000
0.060,0.330,1.00000
0.060,0.340,1.00000
0.060,0.350,1.00000
0.060,0.360,1.00000
0.060,0.370,1.00000
0.060,0.380,1.00000
0.060,0.390,1.00000
0.060,0.400,1.00000
0.060,0.410,1.00000
0.060,0.420,1.00000
0.060,0.430,1.00000
0.060,0.440,1.00000
0.060,0.450,1.00000
0.060,0.460,1.00000
0.060,0.470,1.00000
0.060,0.480,1.00000
0.060,0.490,1.00000
0.060,0.500,1.00000
0.060,0.510,1.00000
0.060,0.520,1.00000
0.060,0.530,1.00000
0.060,0.540,1.00000
0.060,0.550,1.00000
0.060,0.560,1.00000
0.060,0.570,1.00000
0.060,0.580,1.00000
0.060,0.590,1.00000
0.060,0.600,0.90000
0.060,0.610,0.75000
0.060,0.620,0.85000
0.060,0.630,0.70000
0.060,0.640,0.75000
0.060,0.650,0.60000
0.060,0.660,0.65000
0.060,0.670,0.60000
0.060,0.680,0.40000
0.060,0.690,0.45000
0.060,0.700,0.30000
0.070,0.250,1.00000
0.070,0.260,1.00000
0.070,0.270,1.00000
0.070,0.280,1.00000
0.070,0.290,1.00000
0.070,0.300,1.00000
0.070,0.310,1.00000
0.070,0.320,1.00000
0.070,0.330,1.00000
0.070,0.340,1.00000
0.070,0.350,1.00000
0.070,0.360,1.00000
0.070,0.370,1.00000
0.070,0.380,1.00000
0.070,0.390,1.00000
0.070,0.400,1.00000
0.070,0.410,1.00000
0.070,0.420,1.00000
0.070,0.430,1.00000
0.070,0.440,1.00000
0.070,0.450,1.00000
0.070,0.460,1.00000
0.070,0.470,1.00000
0.070,0.480,1.00000
0.070,0.490,1.00000
0.070,0.500,1.00000
0.070,0.510,1.00000
0.070,0.520,1.00000
0.070,0.530,1.00000
0.070,0.540,1.00000
0.070,0.550,1.00000
0.070,0.560,1.00000
0.070,0.570,1.00000
0.070,0.580,0.90000
0.070,0.590,0.90000
0.070,0.600,0.75000
0.070,0.610,0.80000
0.070,0.620,0.80000
0.070,0.630,0.75000
0.070,0.640,0.45000
0.070,0.650,0.30000
0.070,0.660,0.30000
0.070,0.670,0.45000
0.070,0.680,0.50000
0.070,0.690,0.25000
0.070,0.700,0.35000
0.080,0.250,1.00000
0.080,0.260,1.00000
0.080,0.270,1.00000
0.080,0.280,1.00000
0.080,0.290,1.00000
0.080,0.300,1.00000
0.080,0.310,1.00000
0.080,0.320,1.00000
0.080,0.330,1.00000
0.080,0.340,1.00000
0.080,0.350,1.00000
0.080,0.360,1.00000
0.080,0.370,1.00000
0.080,0.380,1.00000
0.080,0.390,1.00000
0.080,0.400,1.00000
0.080,0.410,1.00000
0.080,0.420,1.00000
0.080,0.430,1.00000
0.080,0.440,1.00000
0.080,0.450,1.00000
0.080,0.460,1.00000
0.080,0.470,1.00000
0.080,0.480,1.00000
0.080,0.490,1.00000
0.080,0.500,1.00000
0.080,0.510,1.00000
0.080,0.520,1.00000
0.080,0.530,0.95000
0.080,0.540,1.00000
0.080,0.550,1.00000
0.080,0.560,1.00000
0.080,0.570,0.95000
0.080,0.580,0.90000
0.080,0.590,0.80000
0.080,0.600,0.75000
0.080,0.610,0.45000
0.080,0.620,0.50000
0.080,0.630,0.55000
0.080,0.640,0.55000
0.080,0.650,0.55000
0.080,0.660,0.45000
0.080,0.670,0.35000
0.080,0.680,0.25000
0.080,0.690,0.20000
0.080,0.700,0.20000
0.090,0.250,1.00000
0.090,0.260,1.00000
0.090,0.270,1.00000
0.090,0.280,1.00000
0.090,0.290,1.00000
0.090,0.300,1.00000
0.090,0.310,1.00000
0.090,0.320,1.00000
0.090,0.330,1.00000
0.090,0.340,1.00000
0.090,0.350,1.00000
0.090,0.360,1.00000
0.090,0.370,1.00000
0.090,0.380,1.00000
0.090,0.390,1.00000
0.090,0.400,1.00000
0.090,0.410,1.00000
0.090,0.420,1.00000
0.090,0.430,1.00000
0.090,0.440,1.00000
0.090,0.450,1.00000
0.090,0.460,1.00000
0.090,0.470,1.00000
0.090,0.480,1.00000
0.090,0.490,1.00000
0.090,0.500,1.00000
0.090,0.510,1.00000
0.090,0.520,0.95000
0.090,0.530,0.95000
0.090,0.540,1.00000
0.090,0.550,1.00000
0.090,0.560,1.00000
0.090,0.570,1.00000
0.090,0.580,0.90000
0.090,0.590,0.75000
0.090,0.600,0.55000
0.090,0.610,0.60000
0.090,0.620,0.55000
0.090,0.630,0.50000
0.090,0.640,0.50000
0.090,0.650,0.40000
0.090,0.660,0.55000
0.090,0.670,0.40000
0.090,0.680,0.35000
0.090,0.690,0.45000
0.090,0.700,0.35000
0.100,0.250,1.00000
0.100,0.260,1.00000
0.100,0.270,1.00000
0.100,0.280,1.00000
0.100,0.290,1.00000
0.100,0.300,1.00000
0.100,0.310,1.00000
0.100,0.320,1.00000
0.100,0.330,1.00000
0.100,0.340,1.00000
0.100,0.350,1.00000
0.100,0.360,1.00000
0.100,0.370,1.00000
0.100,0.380,1.00000
0.100,0.390,1.00000
0.100,0.400,1.00000
0.100,0.410,1.00000
0.100,0.420,1.00000
0.100,0.430,1.00000
0.100,0.440,1.00000
0.100,0.450,1.00000
0.100,0.460,1.00000
0.100,0.470,1.00000
0.100,0.480,1.00000
0.100,0.490,1.00000
0.100,0.500,1.00000
0.100,0.510,1.00000
0.100,0.520,0.95000
0.100,0.530,0.95000
0.100,0.540,0.95000
0.100,0.550,1.00000
0.100,0.560,1.00000
0.100,0.570,0.95000
0.100,0.580,0.80000
0.100,0.590,0.85000
0.100,0.600,0.55000
0.100,0.610,0.50000
0.100,0.620,0.30000
0.100,0.630,0.45000
0.100,0.640,0.35000
0.100,0.650,0.35000
0.100,0.660,0.45000
0.100,0.670,0.20000
0.100,0.680,0.15000
0.100,0.690,0.10000
0.100,0.700,0.20000
0.110,0.250,1.00000
0.110,0.260,1.00000
0.110,0.270,1.00000
0.110,0.280,1.00000
0.110,0.290,1.00000
0.110,0.300,1.00000
0.110,0.310,1.00000
0.110,0.320,1.00000
0.110,0.330,1.00000
0.110,0.340,1.00000
0.110,0.350,1.00000
0.110,0.360,1.00000
0.110,0.370,1.00000
0.110,0.380,1.00000
0.110,0.390,1.00000
0.110,0.400,1.00000
0.110,0.410,1.00000
0.110,0.420,1.00000
0.110,0.430,1.00000
0.110,0.440,1.00000
0.110,0.450,1.00000
0.110,0.460,1.00000
0.110,0.470,1.00000
0.110,0.480,1.00000
0.110,0.490,1.00000
0.110,0.500,1.00000
0.110,0.510,0.95000
0.110,0.520,0.80000
0.110,0.530,1.00000
0.110,0.540,0.90000
0.110,0.550,0.90000
0.110,0.560,0.90000
0.110,0.570,0.70000
0.110,0.580,0.65000
0.110,0.590,0.50000
0.110,0.600,0.40000
0.110,0.610,0.35000
0.110,0.620,0.25000
0.110,0.630,0.20000
0.110,0.640,0.20000
0.110,0.650,0.25000
0.110,0.660,0.20000
0.110,0.670,0.20000
0.110,0.680,0.10000
0.110,0.690,0.10000
0.110,0.700,0.10000
0.120,0.250,1.00000
0.120,0.260,1.00000
0.120,0.270,1.00000
0.120,0.280,1.00000
0.120,0.290,1.00000
0.120,0.300,1.00000
0.120,0.310,1.00000
0.120,0.320,1.00000
0.120,0.330,1.00000
0.120,0.340,1.00000
0.120,0.350,1.00000
0.120,0.360,1.00000
0.120,0.370,1.00000
0.120,0.380,1.00000
0.120,0.390,1.00000
0.120,0.400,1.00000
0.120,0.410,1.00000
0.120,0.420,1.00000
0.120,0.430,1.00000
0.120,0.440,1.00000
0.120,0.450,1.00000
0.120,0.460,1.00000
0.120,0.470,1.00000
0.120,0.480,1.00000
0.120,0.490,1.00000
0.120,0.500,1.00000
0.120,0.510,0.90000
0.120,0.520,0.95000
0.120,0.530,0.85000
0.120,0.540,0.90000
0.120,0.550,0.95000
0.120,0.560,0.80000
0.120,0.570,0.70000
0.120,0.580,0.60000
0.120,0.590,0.55000
0.120,0.600,0.60000
0.120,0.610,0.55000
0.120,0.620,0.35000
0.120,0.630,0.45000
0.120,0.640,0.35000
0.120,0.650,0.45000
0.120,0.660,0.45000
0.120,0.670,0.50000
0.120,0.680,0.45000
0.120,0.690,0.40000
0.120,0.700,0.30000
0.130,0.250,1.00000
0.130,0.260,1.00000
0.130,0.270,1.00000
0.130,0.280,1.00000
0.130,0.290,1.00000
0.130,0.300,1.00000
0.130,0.310,1.00000
0.130,0.320,1.00000
0.130,0.330,1.00000
0.130,0.340,1.00000
0.130,0.350,1.00000
0.130,0.360,1.00000
0.130,0.370,1.00000
0.130,0.380,1.00000
0.130,0.390,1.00000
0.130,0.400,1.00000
0.130,0.410,1.00000
0.130,0.420,1.00000
0.130,0.430,1.00000
