#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01217904,0.41,96.73121,1000000.00000
0.250,0.01217904,0.06,57.24063,1000000.00000
0.250,0.01217904,0.16,128.62727,1000000.00000
0.250,0.01217904,0.00,28.07901,1000000.00000
0.250,0.01217904,0.17,4.77204,1000000.00000
0.250,0.01217904,0.26,23.24870,1000000.00000
0.250,0.01217904,0.60,136.48737,1000000.00000
0.250,0.01217904,0.41,31.74966,1000000.00000
0.250,0.01217904,0.12,153.54170,1000000.00000
0.250,0.01217904,0.37,69.10042,1000000.00000
0.250,0.01217904,0.04,101.02990,1000000.00000
0.250,0.01217904,0.52,57.37545,1000000.00000
0.250,0.01217904,0.26,150.89917,1000000.00000
0.250,0.01217904,0.02,21.96688,1000000.00000
0.250,0.01217904,0.50,152.85522,1000000.00000
0.250,0.01217904,0.32,96.67918,1000000.00000
0.250,0.01217904,0.43,139.59497,1000000.00000
0.250,0.01217904,0.00,32.72849,1000000.00000
0.250,0.01217904,0.60,49.18671,1000000.00000
0.250,0.01217904,0.07,45.32081,1000000.00000
0.250,0.01217904,0.06,147.24266,1000000.00000
0.250,0.01217904,0.25,148.05670,1000000.00000
0.250,0.01217904,0.35,11.40750,1000000.00000
0.250,0.01217904,0.03,48.84283,1000000.00000
0.250,0.01217904,0.01,79.22745,1000000.00000
0.250,0.01217904,0.53,19.88534,1000000.00000
0.250,0.01217904,0.36,11.96933,1000000.00000
0.250,0.01217904,0.56,89.25763,95176.41307
0.250,0.01217904,0.35,45.83532,1000000.00000
0.250,0.01217904,0.49,138.76420,1000000.00000
0.250,0.01217904,0.45,37.41953,1000000.00000
0.250,0.01217904,0.35,145.77740,1000000.00000
0.250,0.01217904,0.03,64.21560,1000000.00000
0.250,0.01217904,0.31,111.28586,1000000.00000
0.250,0.01217904,0.33,27.51465,1000000.00000
0.250,0.01217904,0.52,110.85537,1000000.00000
0.250,0.01217904,0.52,159.47600,1000000.00000
0.250,0.01217904,0.31,134.54477,1000000.00000
0.250,0.01217904,0.47,29.93101,1000000.00000
0.250,0.01217904,0.29,161.42191,1000000.00000
0.250,0.01217904,0.38,44.72805,1000000.00000
0.250,0.01217904,0.12,173.45160,1000000.00000
0.250,0.01217904,0.51,125.53565,1000000.00000
0.250,0.01217904,0.08,124.36879,1000000.00000
0.250,0.01217904,0.06,75.13398,1000000.00000
0.250,0.01217904,0.46,46.41978,1000000.00000
0.250,0.01217904,0.50,33.32393,1000000.00000
0.250,0.01217904,0.41,104.50590,1000000.00000
0.250,0.01217904,0.19,31.93912,1000000.00000
0.250,0.01217904,0.08,31.38596,1000000.00000
0.250,0.01217904,0.46,161.01940,1000000.00000
0.250,0.01217904,0.41,132.75023,1000000.00000
0.250,0.01217904,0.54,110.41405,1000000.00000
0.250,0.01217904,0.54,141.54210,1000000.00000
0.250,0.01217904,0.28,63.10576,1000000.00000
0.250,0.01217904,0.23,156.34784,1000000.00000
0.250,0.01217904,0.26,138.41773,1000000.00000
0.250,0.01217904,0.58,113.72643,1000000.00000
0.250,0.01217904,0.09,95.33710,1000000.00000
0.250,0.01217904,0.29,32.73842,1000000.00000
0.250,0.01217904,0.30,82.94018,1000000.00000
0.250,0.01217904,0.01,54.83048,1000000.00000
0.250,0.01217904,0.08,114.03535,1000000.00000
0.250,0.01217904,0.32,102.74009,1000000.00000
0.250,0.01217904,0.48,89.34592,1000000.00000
0.250,0.01217904,0.38,22.94796,1000000.00000
0.250,0.01217904,0.45,61.52712,1000000.00000
0.250,0.01217904,0.22,135.60807,1000000.00000
0.250,0.01217904,0.42,101.67140,1000000.00000
0.250,0.01217904,0.22,84.35892,1000000.00000
0.250,0.01217904,0.48,108.56738,1000000.00000
0.250,0.01217904,0.54,33.55889,1000000.00000
0.250,0.01217904,0.60,81.24966,945.87988
0.250,0.01217904,0.13,92.04163,1000000.00000
0.250,0.01217904,0.43,28.10747,1000000.00000
0.250,0.01217904,0.60,49.25280,1000000.00000
0.250,0.01217904,0.02,161.06892,1000000.00000
0.250,0.01217904,0.03,69.96191,1000000.00000
0.250,0.01217904,0.39,3.25983,1000000.00000
0.250,0.01217904,0.08,121.96158,1000000.00000
0.250,0.01217904,0.04,21.52696,1000000.00000
0.250,0.01217904,0.11,31.87992,1000000.00000
0.250,0.01217904,0.06,41.02833,1000000.00000
0.250,0.01217904,0.33,44.27239,1000000.00000
0.250,0.01217904,0.57,135.48899,1000000.00000
0.250,0.01217904,0.45,48.25145,1000000.00000
0.250,0.01217904,0.49,24.62735,1000000.00000
