#nR_H,a_s,e_s,MA_s,tcol
0.250,0.02016585,0.52,110.85537,1.32119
0.250,0.02016585,0.09,95.33710,100000.00000
0.250,0.02016585,0.10,18.26488,100000.00000
0.250,0.02016585,0.35,145.77740,38894.05590
0.250,0.02016585,0.54,141.54210,1.43708
0.250,0.02016585,0.00,28.07901,100000.00000
0.250,0.02016585,0.07,120.98440,100000.00000
0.250,0.02016585,0.00,32.72849,100000.00000
0.250,0.02016585,0.08,114.03535,100000.00000
0.250,0.02016585,0.43,28.10747,9600.51232
0.250,0.02016585,0.08,31.38596,100000.00000
0.250,0.02016585,0.54,33.55889,36.14267
0.250,0.02016585,0.60,81.24966,0.33841
0.250,0.02016585,0.52,138.09389,3.94966
0.250,0.02016585,0.41,31.74966,70223.07149
0.250,0.02016585,0.32,102.74009,77516.85055
0.250,0.02016585,0.57,135.48899,0.12517
0.250,0.02016585,0.22,84.35892,100000.00000
0.250,0.02016585,0.35,45.83532,14430.44080
0.250,0.02016585,0.38,143.51317,100000.00000
0.250,0.02016585,0.59,156.87662,2.56589
0.250,0.02016585,0.03,64.21560,100000.00000
0.250,0.02016585,0.54,110.41405,0.15298
0.250,0.02016585,0.48,108.56738,9.18807
0.250,0.02016585,0.47,37.15583,124.78989
0.250,0.02016585,0.42,11.82756,1111.11636
0.250,0.02016585,0.44,149.43958,13514.55000
0.250,0.02016585,0.29,85.31310,100000.00000
0.250,0.02016585,0.33,44.27239,31183.97906
0.250,0.02016585,0.30,82.94018,100000.00000
0.250,0.02016585,0.39,72.15326,14540.71382
0.250,0.02016585,0.42,179.43736,843.76540
0.250,0.02016585,0.44,52.76659,42.42643
0.250,0.02016585,0.03,69.96191,100000.00000
0.250,0.02016585,0.24,112.96045,100000.00000
0.250,0.02016585,0.59,174.39801,1.41159
0.250,0.02016585,0.59,175.22801,1.39304
0.250,0.02016585,0.56,155.18297,7.88078
0.250,0.02016585,0.02,161.06892,100000.00000
0.250,0.02016585,0.40,168.18606,8725.82644
0.250,0.02016585,0.08,121.96158,100000.00000
0.250,0.02016585,0.13,92.04163,100000.00000
0.250,0.02016585,0.23,156.34784,100000.00000
0.250,0.02016585,0.60,49.25280,2.58443
0.250,0.02016585,0.07,45.32081,100000.00000
0.250,0.02016585,0.03,48.84283,100000.00000
0.250,0.02016585,0.20,171.01115,100000.00000
0.250,0.02016585,0.02,46.58040,100000.00000
0.250,0.02016585,0.24,175.39106,100000.00000
0.250,0.02016585,0.29,161.42191,100000.00000
0.250,0.02016585,0.44,43.77099,1388.06101
0.250,0.02016585,0.42,37.78301,11717.66869
0.250,0.02016585,0.38,133.91033,9123.81298
0.250,0.02016585,0.19,31.93912,100000.00000
0.250,0.02016585,0.12,168.50786,100000.00000
0.250,0.02016585,0.02,119.25401,100000.00000
0.250,0.02016585,0.00,33.01281,100000.00000
0.250,0.02016585,0.46,87.73762,14.35230
0.250,0.02016585,0.49,19.18769,540.73999
0.250,0.02016585,0.42,101.67140,7903.63584
0.250,0.02016585,0.26,68.56035,100000.00000
0.250,0.02016585,0.19,77.21892,100000.00000
0.250,0.02016585,0.38,130.00546,21802.84227
0.250,0.02016585,0.52,112.95098,1.33742
0.250,0.02016585,0.11,31.87992,100000.00000
0.250,0.02016585,0.47,157.30021,168.69050
0.250,0.02016585,0.25,155.89150,100000.00000
0.250,0.02016585,0.36,119.73550,29282.76081
0.250,0.02016585,0.21,18.20208,100000.00000
0.250,0.02016585,0.13,145.82041,100000.00000
0.250,0.02016585,0.34,100.21732,82261.31656
0.250,0.02016585,0.11,88.65318,100000.00000
0.250,0.02016585,0.42,74.63234,376.89154
0.250,0.02016585,0.30,31.86189,100000.00000
0.250,0.02016585,0.47,31.56683,61.93833
0.250,0.02016585,0.12,173.45160,100000.00000
0.250,0.02016585,0.35,178.19284,46344.69269
0.250,0.02016585,0.53,122.33651,5.24072
0.250,0.02016585,0.06,75.13398,100000.00000
0.250,0.02016585,0.48,89.34592,33.46783
0.250,0.02016585,0.24,162.20844,100000.00000
0.250,0.02016585,0.45,48.25145,474.81955
0.250,0.02016585,0.08,168.61140,100000.00000
0.250,0.02016585,0.29,32.73842,100000.00000
0.250,0.02016585,0.14,112.12029,100000.00000
0.250,0.02016585,0.46,21.19519,8417.75269
0.250,0.02016585,0.16,44.59158,100000.00000
0.250,0.02016585,0.23,94.98620,100000.00000
0.250,0.02016585,0.08,106.36073,100000.00000
0.250,0.02016585,0.53,170.99301,30.99234
0.250,0.02016585,0.11,160.56838,100000.00000
0.250,0.02016585,0.23,21.15472,100000.00000
0.250,0.02016585,0.23,174.47446,100000.00000
0.250,0.02016585,0.34,109.91161,13722.78117
0.250,0.02016585,0.17,115.63547,100000.00000
0.250,0.02016585,0.29,7.35635,100000.00000
0.250,0.02016585,0.48,64.02109,12.94535
0.250,0.02016585,0.40,103.73190,30049.91108
0.250,0.02016585,0.14,94.00379,100000.00000
0.250,0.02016585,0.31,67.91115,100000.00000
0.250,0.02016585,0.02,163.67767,100000.00000
0.250,0.02016585,0.25,163.96689,100000.00000
0.250,0.02016585,0.21,13.09734,100000.00000
0.250,0.02016585,0.60,138.67334,0.22252
0.250,0.02016585,0.33,161.41778,100000.00000
0.250,0.02016585,0.01,54.83048,100000.00000
0.250,0.02016585,0.06,39.97941,100000.00000
0.250,0.02016585,0.27,20.44037,100000.00000
0.250,0.02016585,0.16,118.83553,100000.00000
0.250,0.02016585,0.42,84.97205,8520.97705
0.250,0.02016585,0.32,21.55718,100000.00000
0.250,0.02016585,0.04,21.52696,100000.00000
0.250,0.02016585,0.02,56.10799,100000.00000
0.250,0.02016585,0.43,72.13735,3439.09760
0.250,0.02016585,0.00,107.75853,100000.00000
0.250,0.02016585,0.30,10.99403,100000.00000
0.250,0.02016585,0.56,130.21562,0.13907
0.250,0.02016585,0.29,31.01758,100000.00000
0.250,0.02016585,0.15,28.15867,100000.00000
0.250,0.02016585,0.23,174.57819,100000.00000
0.250,0.02016585,0.14,160.20096,100000.00000
0.250,0.02016585,0.58,149.78415,1.32814
0.250,0.02016585,0.53,132.76481,1.32351
0.250,0.02016585,0.58,97.42798,0.13444
0.250,0.02016585,0.16,85.35129,100000.00000
0.250,0.02016585,0.47,117.25567,10.98906
0.250,0.02016585,0.42,15.36294,16116.98650
0.250,0.02016585,0.36,64.58949,16557.56172
0.250,0.02016585,0.53,177.79003,10.31687
0.250,0.02016585,0.57,150.66240,1.33046
0.250,0.02016585,0.28,26.47323,100000.00000
0.250,0.02016585,0.18,18.14004,100000.00000
0.250,0.02016585,0.04,114.76035,100000.00000
0.250,0.02016585,0.43,32.74706,13628.66839
0.250,0.02016585,0.48,47.20753,5.24072
0.250,0.02016585,0.52,41.93270,7.72085
